,Candidate,Party,Votes,Constituency
0,GULAB KAMRO,Indian National Congress,51732,Chhattisgarh - Bharatpur-sonhat
1,CHAMPADEVI PAWLE,Bharatiya Janata Party,35199,Chhattisgarh - Bharatpur-sonhat
2,SHYAM SINGH MARKAM,Gondvana Gantantra Party,26632,Chhattisgarh - Bharatpur-sonhat
3,KRISHANA PRASAD CHERVA,Bahujan Samaj Party,9689,Chhattisgarh - Bharatpur-sonhat
4,SUKHMANTI BAI,Aam Aadmi Party,2205,Chhattisgarh - Bharatpur-sonhat
5,SHARAN SINGH,Independent,1486,Chhattisgarh - Bharatpur-sonhat
6,KRISHNA KANT NAGVANSHI,Chhattisgarh Vikas Ganga Rashtriya Party,1409,Chhattisgarh - Bharatpur-sonhat
7,MADANLAL,Bhartiya Panchyat Party,837,Chhattisgarh - Bharatpur-sonhat
8,POOJA SINGH POYA,Pichhara Samaj Party United,626,Chhattisgarh - Bharatpur-sonhat
9,None of the Above,None of the Above,3360,Chhattisgarh - Bharatpur-sonhat
10,DR. VINAY JAISWAL,Indian National Congress,35819,Chhattisgarh - Manendragarh
11,SHYAM BIHARI JAISWAL,Bharatiya Janata Party,31745,Chhattisgarh - Manendragarh
12,LAKHAN LAL SHRIVASTAVA (PANI WALE BABA),Janta Congress Chhattisgarh (J),12907,Chhattisgarh - Manendragarh
13,ADITYA RAJ DAVID,Gondvana Gantantra Party,11564,Chhattisgarh - Manendragarh
14,SATISH KUMAR SINGH,Aam Aadmi Party,1004,Chhattisgarh - Manendragarh
15,DEEPAK KUMAR,Independent,805,Chhattisgarh - Manendragarh
16,DIGAMBER SINGH,Independent,766,Chhattisgarh - Manendragarh
17,JALJEET SINGH POYA,Rashtriya Gondvana Party,526,Chhattisgarh - Manendragarh
18,DR. FLORENCE NIGHTINGLE SAGAR (DR. LAKRA MADAM),Janata Dal  (United),374,Chhattisgarh - Manendragarh
19,PARATAP SINGH,Bhartiya Panchyat Party,266,Chhattisgarh - Manendragarh
20,None of the Above,None of the Above,2112,Chhattisgarh - Manendragarh
21,AMBICA SINGH DEO,Indian National Congress,48885,Chhattisgarh - Baikunthpur
22,BHAIYALAL RAJWADE,Bharatiya Janata Party,43546,Chhattisgarh - Baikunthpur
23,ENGR.SANJAY SINGH KAMRO,Gondvana Gantantra Party,20247,Chhattisgarh - Baikunthpur
24,BIHARI LAL RAJWADE,Janta Congress Chhattisgarh (J),9236,Chhattisgarh - Baikunthpur
25,SUNIL SINGH,Aam Aadmi Party,1504,Chhattisgarh - Baikunthpur
26,RAM NARAYAN SAHU,Independent,1171,Chhattisgarh - Baikunthpur
27,CHINTAMANI SANDILYA,Independent,710,Chhattisgarh - Baikunthpur
28,GOPAL SINGH,Independent,615,Chhattisgarh - Baikunthpur
29,RAM PRATAP SAHU,Bhartiya Panchyat Party,579,Chhattisgarh - Baikunthpur
30,LAV SINGH UDAY,Rashtriya Gondvana Party,426,Chhattisgarh - Baikunthpur
31,None of the Above,None of the Above,2630,Chhattisgarh - Baikunthpur
32,KHEL SAI SINGH,Indian National Congress,66475,Chhattisgarh - Premnagar
33,VIJAY PRATAP SINGH,Bharatiya Janata Party,51135,Chhattisgarh - Premnagar
34,JAINATH SINGH KERAM,Gondvana Gantantra Party,26388,Chhattisgarh - Premnagar
35,PANKAJ TIWARI,Janta Congress Chhattisgarh (J),11842,Chhattisgarh - Premnagar
36,ANJAY JAIN,Aam Aadmi Party,2178,Chhattisgarh - Premnagar
37,SURAJLAL RAVI,Independent,2091,Chhattisgarh - Premnagar
38,ALOK KUMAR SAHU,Independent,1797,Chhattisgarh - Premnagar
39,SEEMA SINGH TEKAM,Independent,1250,Chhattisgarh - Premnagar
40,DEV KUMARI SINGH SANDILYA,Independent,1130,Chhattisgarh - Premnagar
41,VIDYA BAI BAGHEL,Independent,1063,Chhattisgarh - Premnagar
42,KRISHNA KUMAR DEVANGAN,Independent,801,Chhattisgarh - Premnagar
43,KHEMRAJ SINGH,Bhartiya Panchyat Party,717,Chhattisgarh - Premnagar
44,MALTI BIHARI RAJWADE,Janata Dal  (United),608,Chhattisgarh - Premnagar
45,None of the Above,None of the Above,4058,Chhattisgarh - Premnagar
46,PARAS NATH RAJWADE,Indian National Congress,74623,Chhattisgarh - Bhatgaon
47,RAJNI RAVISHANKAR TRIPATHI,Bharatiya Janata Party,58889,Chhattisgarh - Bhatgaon
48,RAM ADHEEN POYA,Samajwadi Party,10050,Chhattisgarh - Bhatgaon
49,SURENDRA CHOUDHARY,Janta Congress Chhattisgarh (J),9067,Chhattisgarh - Bhatgaon
50,MADHU TIWARI,Independent,3967,Chhattisgarh - Bhatgaon
51,SURENDRA LAL SINGH NETI,Communist Party of India  (Marxist),2673,Chhattisgarh - Bhatgaon
52,DILEEP YADAV (KASKELA),Independent,1608,Chhattisgarh - Bhatgaon
53,LAVKUSH THAKUR,Independent,1407,Chhattisgarh - Bhatgaon
54,SAHEBAN PRASAD BHAGAT,Independent,1228,Chhattisgarh - Bhatgaon
55,ALAM SAI SINGH,Independent,1005,Chhattisgarh - Bhatgaon
56,D. K. SONI,Aam Aadmi Party,877,Chhattisgarh - Bhatgaon
57,TILESHWAR PRASAD RAJWADE,Independent,844,Chhattisgarh - Bhatgaon
58,OM PRAKASH SONWANI,Independent,807,Chhattisgarh - Bhatgaon
59,SITA RAM BHASKAR,Independent,803,Chhattisgarh - Bhatgaon
60,MOHAN SINGH TEKAM,Shiv Sena,734,Chhattisgarh - Bhatgaon
61,KUMAIT SANDIL,Independent,692,Chhattisgarh - Bhatgaon
62,UPENDRA GUPTA,Independent,683,Chhattisgarh - Bhatgaon
63,RAMLAL RAJWADE,Bhartiya Panchyat Party,517,Chhattisgarh - Bhatgaon
64,HARIBHAGAT YADAV,Independent,472,Chhattisgarh - Bhatgaon
65,ANAND RAJWADE,Independent,439,Chhattisgarh - Bhatgaon
66,None of the Above,None of the Above,981,Chhattisgarh - Bhatgaon
67,DR. PREMSAI SINGH TEKAM,Indian National Congress,90148,Chhattisgarh - Pratappur
68,RAMSEWAK PAIKRA,Bharatiya Janata Party,46043,Chhattisgarh - Pratappur
69,ASHA DEVI POYA,Gondvana Gantantra Party,17341,Chhattisgarh - Pratappur
70,DR. NARENDRA PRATAP SINGH,Janta Congress Chhattisgarh (J),5977,Chhattisgarh - Pratappur
71,CHHOTELAL TIRKEY,Aam Aadmi Party,1971,Chhattisgarh - Pratappur
72,VIRNARAYAN SINGH,Independent,1808,Chhattisgarh - Pratappur
73,PREMSAI SINGH FATHER LAKSHAN,Independent,1375,Chhattisgarh - Pratappur
74,RAMASAPNA SINGH,Ambedkarite Party of India,1181,Chhattisgarh - Pratappur
75,PREMSAI SINGH FATHER RAMVRIKSHA AAYAM,Independent,792,Chhattisgarh - Pratappur
76,NARESH BEK,Bahujan Mukti Party,741,Chhattisgarh - Pratappur
77,PREMSAI,Independent,692,Chhattisgarh - Pratappur
78,DHANPAT SINGH AAYAM,Independent,569,Chhattisgarh - Pratappur
79,None of the Above,None of the Above,5741,Chhattisgarh - Pratappur
80,BRIHASPAT SINGH,Indian National Congress,64580,Chhattisgarh - Ramanujganj
81,RAMKISHUN SINGH,Bharatiya Janata Party,31664,Chhattisgarh - Ramanujganj
82,VINAY PAIKRA,Independent,29241,Chhattisgarh - Ramanujganj
83,MOHAN SINGH,Janta Congress Chhattisgarh (J),10354,Chhattisgarh - Ramanujganj
84,DAYA SHANKAR MARKAM,Gondvana Gantantra Party,4691,Chhattisgarh - Ramanujganj
85,SHRAWAN SINGH,Independent,1676,Chhattisgarh - Ramanujganj
86,BABLA NAND RAGHUVANSHI,Ambedkarite Party of India,1449,Chhattisgarh - Ramanujganj
87,MOTILAL PANDO,Independent,1429,Chhattisgarh - Ramanujganj
88,SYAMLAL MARKAM,Independent,1224,Chhattisgarh - Ramanujganj
89,JAILAL LAKRA,Janata Dal  (United),1069,Chhattisgarh - Ramanujganj
90,DHARMU EKKA,Bahujan Mukti Party,1037,Chhattisgarh - Ramanujganj
91,RAJPAL SINGH NAGWANSHI,Independent,969,Chhattisgarh - Ramanujganj
92,SUGRIV RAM,Aam Aadmi Party,844,Chhattisgarh - Ramanujganj
93,DAYANAND SINGH,Independent,591,Chhattisgarh - Ramanujganj
94,None of the Above,None of the Above,4055,Chhattisgarh - Ramanujganj
95,CHINTAMANI MAHRAJ,Indian National Congress,80620,Chhattisgarh - Samri
96,SIDHNATH PAIKRA,Bharatiya Janata Party,58697,Chhattisgarh - Samri
97,MITKOO BHAGAT,Bahujan Samaj Party,6587,Chhattisgarh - Samri
98,ARJUN SANDILY,Samajwadi Party,1968,Chhattisgarh - Samri
99,PAWAN KUMAR NAG,Bahujan Mukti Party,1824,Chhattisgarh - Samri
100,RADHESHYAM NAGESIYA,Independent,1707,Chhattisgarh - Samri
101,MUKESH PRASAD SANDILYA,Independent,1671,Chhattisgarh - Samri
102,ANAND TIGGA,Independent,1554,Chhattisgarh - Samri
103,DR SOHAN LAL KANWAR,Aam Aadmi Party,1114,Chhattisgarh - Samri
104,AJEET KUMAR SINGH,Independent,833,Chhattisgarh - Samri
105,None of the Above,None of the Above,6250,Chhattisgarh - Samri
106,DR. PRITAM RAM,Indian National Congress,77773,Chhattisgarh - Lundra
107,VIJAYNATH SINGH,Bharatiya Janata Party,55594,Chhattisgarh - Lundra
108,SUMITRA SINGH PAIKRA,Independent,1949,Chhattisgarh - Lundra
109,PRADEEP BARWA,Aam Aadmi Party,1884,Chhattisgarh - Lundra
110,MAYA BHAGAT,Bahujan Samaj Party,1804,Chhattisgarh - Lundra
111,RAM PRASAD TEKAM,Independent,1799,Chhattisgarh - Lundra
112,CHAKRADHARI SINGH,Nationalist Congress Party,1567,Chhattisgarh - Lundra
113,MEENA SINGH TEKAM,Communist Party of India  (Marxist),1562,Chhattisgarh - Lundra
114,RAM KUMAR SINGH,Independent,1252,Chhattisgarh - Lundra
115,SUNA RAM EKKA,Independent,1169,Chhattisgarh - Lundra
116,FRANSISKA TIRKEY,Pichhara Samaj Party United,704,Chhattisgarh - Lundra
117,BHARAT SINGH MARAVI,Independent,655,Chhattisgarh - Lundra
118,PARASNATH LAKRA,Independent,529,Chhattisgarh - Lundra
119,CHAIN SAI KINDO,Independent,511,Chhattisgarh - Lundra
120,NIRANJAN BARWA,Independent,502,Chhattisgarh - Lundra
121,None of the Above,None of the Above,2626,Chhattisgarh - Lundra
122,T.S. BABA,Indian National Congress,100439,Chhattisgarh - Ambikapur
123,ANURAG SINGH DEO,Bharatiya Janata Party,60815,Chhattisgarh - Ambikapur
124,GOPAL PRASAD GUPTA,Gondvana Gantantra Party,4459,Chhattisgarh - Ambikapur
125,TARUN KUMAR BHAGAT,Independent,2173,Chhattisgarh - Ambikapur
126,KRANTI KUMAR RAWAT,Independent,2103,Chhattisgarh - Ambikapur
127,SITA RAM DAS,Bahujan Samaj Party,1322,Chhattisgarh - Ambikapur
128,T S SINGH (BABA),Independent,1075,Chhattisgarh - Ambikapur
129,PARASNATH RAJWADE,Independent,981,Chhattisgarh - Ambikapur
130,KRISHNA NANDAN SINGH,Independent,592,Chhattisgarh - Ambikapur
131,ARVIND KACHCHHAP,Bahujan Mukti Party,507,Chhattisgarh - Ambikapur
132,SAKET TRIPATHI,Aam Aadmi Party,424,Chhattisgarh - Ambikapur
133,TRIBHUVAN KUMAR,Ambedkarite Party of India,360,Chhattisgarh - Ambikapur
134,MUSKAN RAJAK,Independent,358,Chhattisgarh - Ambikapur
135,JHAMKESHWAR PAIKRA,Chhattisgarh Swabhiman Manch,334,Chhattisgarh - Ambikapur
136,KAMAL KUMAR KASHYAP,Independent,327,Chhattisgarh - Ambikapur
137,ALIMUDDIN QUADARI,Independent,319,Chhattisgarh - Ambikapur
138,VIJAY TIWARI,Independent,307,Chhattisgarh - Ambikapur
139,SATENDRA KUMAR SINGH,Independent,288,Chhattisgarh - Ambikapur
140,SHARAD TRIPATHI,Shiv Sena,284,Chhattisgarh - Ambikapur
141,SUJAN BIND,Rashtriya mahan Gantantra Party,258,Chhattisgarh - Ambikapur
142,T.S.SINGH (BABA),Janata Congress,254,Chhattisgarh - Ambikapur
143,VIJAY KUMAR PAIKRA,Independent,161,Chhattisgarh - Ambikapur
144,None of the Above,None of the Above,609,Chhattisgarh - Ambikapur
145,AMARJEET BHAGAT,Indian National Congress,86670,Chhattisgarh - Sitapur
146,PROFESSOR GOPAL RAM,Bharatiya Janata Party,50533,Chhattisgarh - Sitapur
147,SETRAM BARA,Janta Congress Chhattisgarh (J),2495,Chhattisgarh - Sitapur
148,SHANTI PRAKASH,Independent,1938,Chhattisgarh - Sitapur
149,ASHOK TIRKEY,Aam Aadmi Party,1680,Chhattisgarh - Sitapur
150,MUNNA TOPPO,Independent,1629,Chhattisgarh - Sitapur
151,VIPIN BIHARI PAIKARA,Independent,890,Chhattisgarh - Sitapur
152,RAMCHANDRA PAIKARA,Independent,876,Chhattisgarh - Sitapur
153,JEMS TOPPO,Independent,500,Chhattisgarh - Sitapur
154,GOPAL RAM TIGGA,Independent,452,Chhattisgarh - Sitapur
155,GOPAL RAM LAKRA,Independent,371,Chhattisgarh - Sitapur
156,None of the Above,None of the Above,5189,Chhattisgarh - Sitapur
157,VINAY KUMAR BHAGAT,Indian National Congress,71963,Chhattisgarh - Jashpur
158,GOVIND RAM BHAGAT,Bharatiya Janata Party,63937,Chhattisgarh - Jashpur
159,PRADEEP SINGH,Independent,10646,Chhattisgarh - Jashpur
160,NAN RAM BHARDWAJ,Independent,4784,Chhattisgarh - Jashpur
161,KRIPA SHANKAR BHAGAT,Samajwadi Party,2551,Chhattisgarh - Jashpur
162,VISHNU RAM,Independent,2394,Chhattisgarh - Jashpur
163,ROHIT LAKRA,Aam Aadmi Party,2281,Chhattisgarh - Jashpur
164,GAGANMATI BHAGAT,Bahujan Samaj Party,2081,Chhattisgarh - Jashpur
165,EMMANUEL KERKETTA,Republican Party of India (A),1886,Chhattisgarh - Jashpur
166,RENUKA BHAGAT,Independent,1634,Chhattisgarh - Jashpur
167,SUKRU BHAGAT,Bhartiya Tribal Party,1005,Chhattisgarh - Jashpur
168,HARSH KUJUR,Bahujan Mukti Party,899,Chhattisgarh - Jashpur
169,None of the Above,None of the Above,4317,Chhattisgarh - Jashpur
170,U. D. MINJ,Indian National Congress,69896,Chhattisgarh - Kunkuri
171,BHARAT SAI,Bharatiya Janata Party,65603,Chhattisgarh - Kunkuri
172,BENJAMIN MINJ,Bahujan Samaj Party,1970,Chhattisgarh - Kunkuri
173,ASUNDEV SAI,Aam Aadmi Party,1842,Chhattisgarh - Kunkuri
174,SUSHILA SAI PAINKRA,Independent,1619,Chhattisgarh - Kunkuri
175,KAMLESHWAR RAM NAYAK,Independent,1574,Chhattisgarh - Kunkuri
176,MUKTI MINJ,Independent,1571,Chhattisgarh - Kunkuri
177,BALRAM KUNWAR,Ambedkarite Party of India,1106,Chhattisgarh - Kunkuri
178,BODH SAI,Bhartiya Tribal Party,1047,Chhattisgarh - Kunkuri
179,KAUSHAL KUMAR OHDAR,Independent,908,Chhattisgarh - Kunkuri
180,SHYAM SUNDAR MARAVI,Gondvana Gantantra Party,888,Chhattisgarh - Kunkuri
181,SATMAN SAI,Chhattisgarhi Samaj Party,480,Chhattisgarh - Kunkuri
182,INDRANATH PAINKRA,Independent,458,Chhattisgarh - Kunkuri
183,MANOHAR TIRKEY,Republican Party of India (A),340,Chhattisgarh - Kunkuri
184,None of the Above,None of the Above,2129,Chhattisgarh - Kunkuri
185,RAMPUKAR SINGH THAKUR,Indian National Congress,96599,Chhattisgarh - Pathalgaon
186,SHIVSHANKAR PAINKARA,Bharatiya Janata Party,59913,Chhattisgarh - Pathalgaon
187,M. S. PAINKARA,Janta Congress Chhattisgarh (J),3915,Chhattisgarh - Pathalgaon
188,YAGYA KUMAR BHAGAT,Independent,2619,Chhattisgarh - Pathalgaon
189,PATRIK BAKHLA,Independent,1175,Chhattisgarh - Pathalgaon
190,MEERA TIRKEY,Aam Aadmi Party,854,Chhattisgarh - Pathalgaon
191,TIKESHWAR EKKA,Independent,821,Chhattisgarh - Pathalgaon
192,RUPNARAYAN EKKA,Bahujan Mukti Party,818,Chhattisgarh - Pathalgaon
193,KARTIK SAI SIDAR,Independent,533,Chhattisgarh - Pathalgaon
194,LALESHWAR JAGAT,Gondvana Gantantra Party,494,Chhattisgarh - Pathalgaon
195,SWAMI KARTIK BHAGAT,Bharatiya Bahujan Congress,459,Chhattisgarh - Pathalgaon
196,None of the Above,None of the Above,5159,Chhattisgarh - Pathalgaon
197,CHAKRADHAR SINGH SIDAR,Indian National Congress,81770,Chhattisgarh - Lailunga
198,SATYANAND RATHIYA,Bharatiya Janata Party,57287,Chhattisgarh - Lailunga
199,HRIDYA RAM RATHIYA,Janta Congress Chhattisgarh (J),12195,Chhattisgarh - Lailunga
200,DARSHAN SIDAR,Gondvana Gantantra Party,2470,Chhattisgarh - Lailunga
201,SHIVPAL BHAGAT,Independent,2000,Chhattisgarh - Lailunga
202,SURESH KUMAR KUJUR,Independent,1559,Chhattisgarh - Lailunga
203,GOVIND SINGH NETI,Independent,1052,Chhattisgarh - Lailunga
204,SUNIL MINJ,Bhartiya Tribal Party,841,Chhattisgarh - Lailunga
205,None of the Above,None of the Above,4092,Chhattisgarh - Lailunga
206,PRAKASH SHAKRAJEET NAIK,Indian National Congress,69062,Chhattisgarh - Raigarh
207,ROSHANLAL,Bharatiya Janata Party,54482,Chhattisgarh - Raigarh
208,VIJAY AGRAWAL,Independent,42914,Chhattisgarh - Raigarh
209,RAVISHANKAR PATEL,Independent,7823,Chhattisgarh - Raigarh
210,VIBHAS SINGH THAKUR,Janta Congress Chhattisgarh (J),5823,Chhattisgarh - Raigarh
211,BIRSINGH NAGESH,Bhartiya Tribal Party,2114,Chhattisgarh - Raigarh
212,MUKUND GUPTA,Independent,1918,Chhattisgarh - Raigarh
213,CHEHARALAL CHOUHAN,Independent,1486,Chhattisgarh - Raigarh
214,BHARAT KUMAR DUBEY (OM TENT),Independent,777,Chhattisgarh - Raigarh
215,RAJESH TRIPATHI,Aam Aadmi Party,499,Chhattisgarh - Raigarh
216,MAHESH KUMAR KHOBRAGADE,Ambedkarite Party of India,476,Chhattisgarh - Raigarh
217,SHARMILA DEVI,Bharatiya Rashtravadi Samanta Party,429,Chhattisgarh - Raigarh
218,RAJESH JAIN,Shiv Sena,384,Chhattisgarh - Raigarh
219,GOVIND DUBEY (AD.),Independent,319,Chhattisgarh - Raigarh
220,TEJRAM MALAKAR,Independent,291,Chhattisgarh - Raigarh
221,NURUL SHAMS ALIAS JAVED ALI,Independent,282,Chhattisgarh - Raigarh
222,NAZIR AHMAD,Independent,239,Chhattisgarh - Raigarh
223,None of the Above,None of the Above,2215,Chhattisgarh - Raigarh
224,UTTARI GANPAT JANGDE,Indian National Congress,101834,Chhattisgarh - Sarangarh
225,KERA BAI  MANAHAR,Bharatiya Janata Party,49445,Chhattisgarh - Sarangarh
226,ARVIND KHATKER,Bahujan Samaj Party,31083,Chhattisgarh - Sarangarh
227,SANTOSHI,Independent,1476,Chhattisgarh - Sarangarh
228,KRISHNA CHAND BHARDVAJ,Independent,1147,Chhattisgarh - Sarangarh
229,SANTOSH KUMAR CHAUHAN,Independent,1139,Chhattisgarh - Sarangarh
230,DEVANAND NIRALA,Bharatiya Bahujan Congress,1076,Chhattisgarh - Sarangarh
231,SEEMA  AJAY,Ambedkarite Party of India,1055,Chhattisgarh - Sarangarh
232,SUBHASH CHAUHAN,Aam Aadmi Party,1024,Chhattisgarh - Sarangarh
233,DHANKA  NIRALA,Independent,771,Chhattisgarh - Sarangarh
234,GHURAU SARTHI,Independent,748,Chhattisgarh - Sarangarh
235,MANGAL PRASAD MAHESH,Bhartiya Lokmat Rashtrwadi Party,495,Chhattisgarh - Sarangarh
236,RAVINDRA KUMAR RATRE,Sunder Samaj Party,389,Chhattisgarh - Sarangarh
237,None of the Above,None of the Above,2342,Chhattisgarh - Sarangarh
238,UMESH PATEL,Indian National Congress,94201,Chhattisgarh - Kharsia
239,OP CHOUDHARY,Bharatiya Janata Party,77234,Chhattisgarh - Kharsia
240,VIJAY SHARMA,Independent,1252,Chhattisgarh - Kharsia
241,NARAYAN SIDAR,Bahujan Samaj Party,965,Chhattisgarh - Kharsia
242,AMAR AGRAWAL,Aam Aadmi Party,600,Chhattisgarh - Kharsia
243,RAMESH KUMAR AGRAWAL,Independent,333,Chhattisgarh - Kharsia
244,DHANMATI RATHIA,Ambedkarite Party of India,306,Chhattisgarh - Kharsia
245,SAKRAMATI SITRAM SIDAR,Gondvana Gantantra Party,235,Chhattisgarh - Kharsia
246,BHOGILAL YADAV (ADVOCATE),Independent,201,Chhattisgarh - Kharsia
247,UMMED SINGH RATHIA,Independent,156,Chhattisgarh - Kharsia
248,STAR RAMKUMAR,Sunder Samaj Party,155,Chhattisgarh - Kharsia
249,None of the Above,None of the Above,2368,Chhattisgarh - Kharsia
250,LALJEET SINGH RATHIA,Indian National Congress,95173,Chhattisgarh - Dharamjaigarh
251,LEENAV BIRJU RATHIA,Bharatiya Janata Party,54838,Chhattisgarh - Dharamjaigarh
252,SANTRAM RATHIA,Janta Congress Chhattisgarh (J),4574,Chhattisgarh - Dharamjaigarh
253,HARI TIRKEY,Independent,2314,Chhattisgarh - Dharamjaigarh
254,LAKHAN LAL BAIGA,Ambedkarite Party of India,1615,Chhattisgarh - Dharamjaigarh
255,JAI SINGH SIDAR,Samajwadi Party,1563,Chhattisgarh - Dharamjaigarh
256,ANUP KUMAR BARWA,Bahujan Mukti Party,1538,Chhattisgarh - Dharamjaigarh
257,LINYUS TOPPO,Independent,1241,Chhattisgarh - Dharamjaigarh
258,PREM SINGH RATHIA,Aam Aadmi Party,1174,Chhattisgarh - Dharamjaigarh
259,None of the Above,None of the Above,5954,Chhattisgarh - Dharamjaigarh
260,NANKI RAM KANWAR,Bharatiya Janata Party,65048,Chhattisgarh - Rampur
261,PHOOL SINGH RATHIYA,Janta Congress Chhattisgarh (J),46873,Chhattisgarh - Rampur
262,SHYAM LAL KANWAR,Indian National Congress,44261,Chhattisgarh - Rampur
263,CHANDRABHUSHAN KANWAR ADHIWAKTA LLM,Ambedkarite Party of India,2451,Chhattisgarh - Rampur
264,RAMDAYAL URAON,Independent,1842,Chhattisgarh - Rampur
265,TULSI RAM KHAIRWAR,Independent,1525,Chhattisgarh - Rampur
266,DILIP SINGH KANWAR,Adhikar Vikas Party,1407,Chhattisgarh - Rampur
267,None of the Above,None of the Above,4609,Chhattisgarh - Rampur
268,JAISINGH AGRAWAL(JAISINGH BHAIYA),Indian National Congress,70119,Chhattisgarh - Korba
269,VIKAS MAHTO,Bharatiya Janata Party,58313,Chhattisgarh - Korba
270,RAM SINGH AGRAWAL(CHACHA),Janta Congress Chhattisgarh (J),20938,Chhattisgarh - Korba
271,VISHAL KELKAR(ENGINEER),Independent,4859,Chhattisgarh - Korba
272,RAM LAL SURYWANSHI,Independent,1210,Chhattisgarh - Korba
