,Candidate,Party,Votes,Constituency
549,PITAMBER DEEWAR,Shiv Sena,773,Chhattisgarh - Jaijaipur
550,RAJ KUMAR CHANDRA,Independent,435,Chhattisgarh - Jaijaipur
551,SHANTI KUMAR RATRE (WAKIL),Gondvana Gantantra Party,333,Chhattisgarh - Jaijaipur
552,None of the Above,None of the Above,1527,Chhattisgarh - Jaijaipur
553,INDU BANJARE,Bahujan Samaj Party,50129,Chhattisgarh - Pamgarh
554,GORELAL BARMAN,Indian National Congress,47068,Chhattisgarh - Pamgarh
555,AMBESH JANGRE,Bharatiya Janata Party,32676,Chhattisgarh - Pamgarh
556,SANTRAM TURKE,Independent,1048,Chhattisgarh - Pamgarh
557,KAMLESH KUMARI,Shiv Sena,975,Chhattisgarh - Pamgarh
558,SHIV SHANKAR RAHI,Independent,863,Chhattisgarh - Pamgarh
559,SANTOSH KUMAR KHUTEY,Ambedkarite Party of India,743,Chhattisgarh - Pamgarh
560,MAHABIR JANGRE,Independent,610,Chhattisgarh - Pamgarh
561,MUKESH KUMAR LAHARE,Samajwadi Party,574,Chhattisgarh - Pamgarh
562,CHAITRAM DEV KHATKAR,Aam Aadmi Party,515,Chhattisgarh - Pamgarh
563,NITA SAYTONDAY,Chhattisgarh Swabhiman Manch,459,Chhattisgarh - Pamgarh
564,NAND KUMAR CHAUHAN,Janata Dal  (United),378,Chhattisgarh - Pamgarh
565,DUJE URF DUJRAM KURRE,National Democratic Peoples Front,253,Chhattisgarh - Pamgarh
566,BAHORIK MADHUKAR,India Praja Bandhu Party,243,Chhattisgarh - Pamgarh
567,None of the Above,None of the Above,1470,Chhattisgarh - Pamgarh
568,KISMAT LAL NAND,Indian National Congress,100302,Chhattisgarh - Saraipali
569,SHYAM TANDI,Bharatiya Janata Party,48014,Chhattisgarh - Saraipali
570,CHHABILAL RATRE,Bahujan Samaj Party,1849,Chhattisgarh - Saraipali
571,RAMPRASAD CHAUHAN,Bharatiya Prajatantrik Shudh Gandhiwadi Krishak Dal,1093,Chhattisgarh - Saraipali
572,PRABHAKAR GWAL,Aam Aadmi Party,1064,Chhattisgarh - Saraipali
573,PADMACHARAN NAG,Shiv Sena,926,Chhattisgarh - Saraipali
574,SETRAM BHASKAR,Independent,924,Chhattisgarh - Saraipali
575,MAHENDRA GOVIND RAM KHATKAR,Ambedkarite Party of India,906,Chhattisgarh - Saraipali
576,None of the Above,None of the Above,3270,Chhattisgarh - Saraipali
577,DEVENDRA BAHADUR SINGH,Indian National Congress,67535,Chhattisgarh - Basna
578,SAMPAT AGRAWAL,Independent,50027,Chhattisgarh - Basna
579,DURGACHARAN(D.C.) PATEL,Bharatiya Janata Party,36394,Chhattisgarh - Basna
580,TRILOCHAN NAYAK LUNGIWALA,Janta Congress Chhattisgarh (J),7758,Chhattisgarh - Basna
581,DR. ANAMIKA PAUL,Independent,2475,Chhattisgarh - Basna
582,MAHENDRA SAO,Independent,2123,Chhattisgarh - Basna
583,KALESHWAR YADAV,National Democratic Peoples Front,1753,Chhattisgarh - Basna
584,ASHOK PRADHAN,Shiv Sena,1007,Chhattisgarh - Basna
585,JAGDISH SIDAR,Independent,923,Chhattisgarh - Basna
586,PRAHALLAD BARIHA,Independent,833,Chhattisgarh - Basna
587,SANKALP DASS,Aam Aadmi Party,493,Chhattisgarh - Basna
588,GAURISHANKAR PATEL,Independent,492,Chhattisgarh - Basna
589,KEDARNATH PATEL,Independent,406,Chhattisgarh - Basna
590,SADANAND SAHU,Bhartiya Shakti Chetna Party,405,Chhattisgarh - Basna
591,YAGENDRA BHOI,Samajwadi Party,350,Chhattisgarh - Basna
592,None of the Above,None of the Above,2431,Chhattisgarh - Basna
593,DWARIKADHISH YADAV,Indian National Congress,96108,Chhattisgarh - Khallari
594,MONIKA DILIP SAHU,Bharatiya Janata Party,39130,Chhattisgarh - Khallari
595,PARESH BAGBAHARA,Janta Congress Chhattisgarh (J),12649,Chhattisgarh - Khallari
596,BHEKHLAL SAHU URF BHEKHU,Independent,5228,Chhattisgarh - Khallari
597,BASANTA THAKUR,Nationalist Congress Party,2972,Chhattisgarh - Khallari
598,MOHINI RAJENDRA PANDE,Independent,1376,Chhattisgarh - Khallari
599,BHUKHAN LAL SAHU,Independent,1219,Chhattisgarh - Khallari
600,BHUWANLAL SAHU,Independent,935,Chhattisgarh - Khallari
601,CHAMPALAL PATEL,Independent,829,Chhattisgarh - Khallari
602,SANTOSH CHANDRAKAR,Aam Aadmi Party,764,Chhattisgarh - Khallari
603,NAND KUMAR NISHAD,Pichhara Samaj Party United,683,Chhattisgarh - Khallari
604,LOKESWAR CHANDRAKAR (LOKU),Shiv Sena,665,Chhattisgarh - Khallari
605,KUMAR GOND,Gondvana Gantantra Party,577,Chhattisgarh - Khallari
606,DAYARAM,Independent,529,Chhattisgarh - Khallari
607,JAGESHWAR (JUGNU) CHANDRAKAR,Independent,421,Chhattisgarh - Khallari
608,TEJSINGH,Independent,343,Chhattisgarh - Khallari
609,ROSHAN TANDE,Independent,332,Chhattisgarh - Khallari
610,GOVARDHAN NISHAD,Rashtriya Jansabha Party,269,Chhattisgarh - Khallari
611,RAMAWATAR DHRUW,Independent,168,Chhattisgarh - Khallari
612,MO. SARFARAJ,Independent,103,Chhattisgarh - Khallari
613,None of the Above,None of the Above,499,Chhattisgarh - Khallari
614,VINOD SEVAN LAL CHANDRAKAR,Indian National Congress,49356,Chhattisgarh - Mahasamund
615,POONAM CHANDRAKAR,Bharatiya Janata Party,26290,Chhattisgarh - Mahasamund
616,TRIBHUWAN MAHILANG,Janta Congress Chhattisgarh (J),24839,Chhattisgarh - Mahasamund
617,MANOJ KANT SAHU,Independent,21911,Chhattisgarh - Mahasamund
618,DR VIMAL CHOPRA,Independent,21160,Chhattisgarh - Mahasamund
619,T.K. DADSENA,Independent,1552,Chhattisgarh - Mahasamund
620,PANKAJ SAHU,Independent,1445,Chhattisgarh - Mahasamund
621,PUJA DHRUW,Independent,1270,Chhattisgarh - Mahasamund
622,ASHOK SONI,Ambedkarite Party of India,1000,Chhattisgarh - Mahasamund
623,SANJAY YADAV,Aam Aadmi Party,764,Chhattisgarh - Mahasamund
624,GANGU RAM THAKUR,Independent,734,Chhattisgarh - Mahasamund
625,DEJIRANI NETAM,Gondvana Gantantra Party,710,Chhattisgarh - Mahasamund
626,PARASRAM DHRUW LAHANGAR WALE,Chhattisgarhi Samaj Party,642,Chhattisgarh - Mahasamund
627,KAUSHAL DEWANGAN,Independent,560,Chhattisgarh - Mahasamund
628,KRISHNA KUMAR CHANDRAKAR,Rashtriya Jansabha Party,361,Chhattisgarh - Mahasamund
629,None of the Above,None of the Above,2085,Chhattisgarh - Mahasamund
630,CHANDRADEV PRASAD RAI,Indian National Congress,71936,Chhattisgarh - Bilaigarh
631,SHYAM KUMAR TANDAN,Bahujan Samaj Party,62089,Chhattisgarh - Bilaigarh
632,DR. SANAM JANGDE,Bharatiya Janata Party,40623,Chhattisgarh - Bilaigarh
633,BHOJ RAM AJAGALE,Independent,10595,Chhattisgarh - Bilaigarh
634,HARI RAM KURREY,Independent,2580,Chhattisgarh - Bilaigarh
635,SANJAY KUMAR,Independent,1822,Chhattisgarh - Bilaigarh
636,SANTOSH KUMAR SONWANI,Janata Congress,1083,Chhattisgarh - Bilaigarh
637,ER. REVALAL SATNAMI,Independent,858,Chhattisgarh - Bilaigarh
638,KOMAL PRASAD,Gondvana Gantantra Party,839,Chhattisgarh - Bilaigarh
639,FULMANI TANDAN,Janta Congress Chhattisgarh (J),803,Chhattisgarh - Bilaigarh
640,NAND KISHOR DEEP,Independent,654,Chhattisgarh - Bilaigarh
641,TAKESH ALIAS TAKESHWAR,Independent,630,Chhattisgarh - Bilaigarh
642,JAGANNATH MAHILANG,Aam Aadmi Party,568,Chhattisgarh - Bilaigarh
643,NARESH KUMARI AJAY,Shiv Sena,456,Chhattisgarh - Bilaigarh
644,NITESH KUMAR RATRE,Sunder Samaj Party,444,Chhattisgarh - Bilaigarh
645,None of the Above,None of the Above,2789,Chhattisgarh - Bilaigarh
646,SHAKUNTALA SAHU,Indian National Congress,121422,Chhattisgarh - Kasdol
647,GAURISHANKAR AGRAWAL,Bharatiya Janata Party,73004,Chhattisgarh - Kasdol
648,PARMESHWAR YADU,Janta Congress Chhattisgarh (J),18170,Chhattisgarh - Kasdol
649,RAMESHWAR PRASAD KAIWART,Bahujan Samaj Party,9558,Chhattisgarh - Kasdol
650,JAGJEEWAN KUMAR NARANGE,Independent,3917,Chhattisgarh - Kasdol
651,KRISHNA KANT PANDEY,Independent,2128,Chhattisgarh - Kasdol
652,CHHABI LAL KANWAR,Bhartiya Shakti Chetna Party,1917,Chhattisgarh - Kasdol
653,DASRU RAM PAIKARA,Independent,1560,Chhattisgarh - Kasdol
654,TARACHAND KASHYAP,Independent,1485,Chhattisgarh - Kasdol
655,CHARAN DAS,Independent,1370,Chhattisgarh - Kasdol
656,DHARMU PRABHUWA,Independent,1288,Chhattisgarh - Kasdol
657,ASHOK SAHU,Independent,1098,Chhattisgarh - Kasdol
658,SHAKUNTALA SAHU,Nationalist Congress Party,1009,Chhattisgarh - Kasdol
659,GYANPRAKASH,Independent,789,Chhattisgarh - Kasdol
660,SANJAY BANJARE,Janata Congress,741,Chhattisgarh - Kasdol
661,PROFESSOR DR. SHANTI KUMAR KAIWARTYA,Independent,735,Chhattisgarh - Kasdol
662,GOVIND SAHU,Independent,734,Chhattisgarh - Kasdol
663,MANHARAN SAHU,Shiv Sena,577,Chhattisgarh - Kasdol
664,RADHE LAL CHANDRAKAR,Chhattisgarh Swabhiman Manch,519,Chhattisgarh - Kasdol
665,DR. SAHDEV DANDEKAR,Janata Dal  (United),484,Chhattisgarh - Kasdol
666,SHYAMA CHARAN SAHU,Aam Aadmi Party,453,Chhattisgarh - Kasdol
667,SHANKAR LAL TANDAN,Independent,423,Chhattisgarh - Kasdol
668,NILKANTH VERMA,Independent,406,Chhattisgarh - Kasdol
669,SANTOSH KUMAR MARKANDEY,Independent,387,Chhattisgarh - Kasdol
670,PURAN LAL KATHOTRE,Independent,324,Chhattisgarh - Kasdol
671,RAHUL KAIWARTYA,Independent,307,Chhattisgarh - Kasdol
672,DURGESHWAR PRASAD SAHU,Independent,297,Chhattisgarh - Kasdol
673,PRABHAT KUMAR YADAV,Independent,244,Chhattisgarh - Kasdol
674,PRANNATH SAHU,Independent,181,Chhattisgarh - Kasdol
675,None of the Above,None of the Above,1588,Chhattisgarh - Kasdol
676,PRAMOD KUMAR SHARMA,Janta Congress Chhattisgarh (J),65251,Chhattisgarh - Balodabazar
677,JANAK RAM VERMA,Indian National Congress,63122,Chhattisgarh - Balodabazar
678,TESU LAL DHURANDHAR,Bharatiya Janata Party,48808,Chhattisgarh - Balodabazar
679,GANESH KUMAR AGRAWAL,Independent,3093,Chhattisgarh - Balodabazar
680,GANGA RAM SHER,Independent,3079,Chhattisgarh - Balodabazar
681,SANTOSH KUMAR YADU,Shiv Sena,1634,Chhattisgarh - Balodabazar
682,MUKESH SAHU,Independent,1530,Chhattisgarh - Balodabazar
683,KISHAN LAL,Independent,1035,Chhattisgarh - Balodabazar
684,MANAHARAN LAL VERMA,Aam Aadmi Party,979,Chhattisgarh - Balodabazar
685,ANIL KUMAR YADAV,Ambedkarite Party of India,903,Chhattisgarh - Balodabazar
686,SMT. TIKESHWARI DHRUW,Independent,824,Chhattisgarh - Balodabazar
687,GAUKARAN NISHAD,Bhrashtachar Mukti Morcha,690,Chhattisgarh - Balodabazar
688,MAHENDRA KUMAR SAHU,Chhattisgarh Swabhiman Manch,688,Chhattisgarh - Balodabazar
689,ASHWANI VERMA,Independent,521,Chhattisgarh - Balodabazar
690,ROHIT PATIL,Rashtriya Jansabha Party,368,Chhattisgarh - Balodabazar
691,None of the Above,None of the Above,3167,Chhattisgarh - Balodabazar
692,SHIVRATAN SHARMA,Bharatiya Janata Party,63399,Chhattisgarh - Bhatapara
693,SUNIL MAHESHWARI,Indian National Congress,51490,Chhattisgarh - Bhatapara
694,CHAITRAM SAHU,Janta Congress Chhattisgarh (J),45907,Chhattisgarh - Bhatapara
695,MURARI MISHRA,Nationalist Congress Party,2269,Chhattisgarh - Bhatapara
696,MOHAN GAYAKWAD,Independent,1963,Chhattisgarh - Bhatapara
697,NARAYAN SAHU,Independent,1701,Chhattisgarh - Bhatapara
698,AMAR DAS MATRE,Independent,1463,Chhattisgarh - Bhatapara
699,RESHAMLAL JOGI,Independent,1153,Chhattisgarh - Bhatapara
700,KATYANI VERMA,Aam Aadmi Party,1140,Chhattisgarh - Bhatapara
701,RADHECHARAN DHRUW,Gondvana Gantantra Party,928,Chhattisgarh - Bhatapara
702,BHEEKHAM YADU,Shiv Sena,837,Chhattisgarh - Bhatapara
703,SANTOSH KUMAR KOSHLE,Independent,714,Chhattisgarh - Bhatapara
704,GOPAL NUT,Asankhya Samaj Party,701,Chhattisgarh - Bhatapara
705,PRAVIN KUMAR SAHU,Chhattisgarh Swabhiman Manch,654,Chhattisgarh - Bhatapara
706,TORANDAS KOSLE,Independent,614,Chhattisgarh - Bhatapara
707,GIRJALAL TONDE,Independent,468,Chhattisgarh - Bhatapara
708,SATYANARAYAN SONWANI,Independent,370,Chhattisgarh - Bhatapara
709,PREMPRAKASH,Bharat Bhoomi Party,365,Chhattisgarh - Bhatapara
710,None of the Above,None of the Above,915,Chhattisgarh - Bhatapara
711,ANITA YOGENDRA SHARMA,Indian National Congress,78989,Chhattisgarh - Dharsiwa
712,DEVJI BHAI PATEL,Bharatiya Janata Party,59589,Chhattisgarh - Dharsiwa
713,PANNA LAL SAHU,Janta Congress Chhattisgarh (J),14968,Chhattisgarh - Dharsiwa
714,SANJU YADAV,Independent,3343,Chhattisgarh - Dharsiwa
715,SANGITA BAGHEL,Independent,2197,Chhattisgarh - Dharsiwa
716,DR. OM PRAKASH SAHU,Samajwadi Party,632,Chhattisgarh - Dharsiwa
717,TAMESHWAR SAHU,Independent,592,Chhattisgarh - Dharsiwa
718,PURAN LAL BAGHEL,Independent,521,Chhattisgarh - Dharsiwa
719,ANIL PURI GOSWAMI,Independent,390,Chhattisgarh - Dharsiwa
720,DHANESH KUMAR MAIRISHA,Ambedkarite Party of India,383,Chhattisgarh - Dharsiwa
721,SANTOSH DUBEY,Aam Aadmi Party,324,Chhattisgarh - Dharsiwa
722,RAJESH KUMAR BANJARE,Rashtriya Jansabha Party,293,Chhattisgarh - Dharsiwa
723,DASHRATH BIRJALE,Independent,280,Chhattisgarh - Dharsiwa
724,TIKARAM SAHU,Independent,265,Chhattisgarh - Dharsiwa
725,GULAB TANDON,Independent,236,Chhattisgarh - Dharsiwa
726,GUNISH KUMAR VERMA (LATE CHHEDULAL VERMA),Independent,127,Chhattisgarh - Dharsiwa
727,None of the Above,None of the Above,1361,Chhattisgarh - Dharsiwa
728,SATYANARAYAN SHARMA,Indian National Congress,78468,Chhattisgarh - Raipur City Gramin
729,NAND KUMAR SAHU (NANDE BHAIYA),Bharatiya Janata Party,68015,Chhattisgarh - Raipur City Gramin
730,DR. OMPRAKASH DEWANGAN,Janta Congress Chhattisgarh (J),17175,Chhattisgarh - Raipur City Gramin
731,PITAMBAR JANGDE,Independent,1483,Chhattisgarh - Raipur City Gramin
732,NARENDRA KUMAR BAGHEL,Independent,1106,Chhattisgarh - Raipur City Gramin
733,DR. SANKET THAKUR,Aam Aadmi Party,1096,Chhattisgarh - Raipur City Gramin
734,GAIND LAL DADSENA,Independent,940,Chhattisgarh - Raipur City Gramin
735,CHANDRAKANT BHAI SOLANKI,Independent,727,Chhattisgarh - Raipur City Gramin
736,SANDEEP YADU,Independent,546,Chhattisgarh - Raipur City Gramin
737,BALDEV PRAKASH DWIVEDI,Independent,473,Chhattisgarh - Raipur City Gramin
738,BUDHARU RAM BANJARE,Independent,370,Chhattisgarh - Raipur City Gramin
739,MOTIRAM VERMA,Independent,308,Chhattisgarh - Raipur City Gramin
740,BANMALI CHHURA,Bharatiya Bahujan Party,224,Chhattisgarh - Raipur City Gramin
741,FULRAJ VARMA,Bharatiya Bahujan Congress,194,Chhattisgarh - Raipur City Gramin
742,KRISHNA MURARI YADAV,Independent,170,Chhattisgarh - Raipur City Gramin
743,SATYANARAYAN,Independent,139,Chhattisgarh - Raipur City Gramin
744,LAKHAMOORAM TANDON,Rashtriya Jansabha Party,135,Chhattisgarh - Raipur City Gramin
745,RAJENDRA KUMAR SAHU,Independent,118,Chhattisgarh - Raipur City Gramin
746,MD. USMAN SHAKH,Independent,113,Chhattisgarh - Raipur City Gramin
747,MOHAMMAD AURANGJEB,Independent,102,Chhattisgarh - Raipur City Gramin
748,MANGALCHAND,Republican Party of India (A),81,Chhattisgarh - Raipur City Gramin
749,SMT. SHAMEEM KHAN,Bhartiya Lokmat Rashtrwadi Party,75,Chhattisgarh - Raipur City Gramin
750,None of the Above,None of the Above,955,Chhattisgarh - Raipur City Gramin
751,VIKAS UPADHYAY,Indian National Congress,76359,Chhattisgarh - Raipur City West
752,RAJESH MUNAT,Bharatiya Janata Party,64147,Chhattisgarh - Raipur City West
753,BHOJRAJ GAURKHEDE,Bahujan Samaj Party,2271,Chhattisgarh - Raipur City West
754,UTTAM JAYASVAL,Aam Aadmi Party,984,Chhattisgarh - Raipur City West
755,AJAY MISHRA,Independent,591,Chhattisgarh - Raipur City West
756,ARUN HARPAL,Bhartiya Kisan Party,480,Chhattisgarh - Raipur City West
757,ASHOK KUMAR BHAWSAGAR,Independent,419,Chhattisgarh - Raipur City West
758,BHARAT NAYAK,Independent,363,Chhattisgarh - Raipur City West
759,AWDHESH KUMAR UPADHYAY,Independent,357,Chhattisgarh - Raipur City West
760,KANTI YADAV,Independent,329,Chhattisgarh - Raipur City West
761,RAKESH LAHARI,Independent,251,Chhattisgarh - Raipur City West
762,USHA BAGHEL,Independent,205,Chhattisgarh - Raipur City West
763,RAGHUNANDAN SAHU,Independent,201,Chhattisgarh - Raipur City West
764,INDRA KUMAR CHANDRAKAR,Independent,196,Chhattisgarh - Raipur City West
765,ENGINEER AZMUL HASAN,Independent,154,Chhattisgarh - Raipur City West
766,RADHESHYAM YADAV,Independent,149,Chhattisgarh - Raipur City West
767,SMT. REKHA SAHU,Independent,147,Chhattisgarh - Raipur City West
768,RAM SAJEEVAN GUPTA,Independent,140,Chhattisgarh - Raipur City West
769,NAVIN GUPTA,Samajwadi Party,135,Chhattisgarh - Raipur City West
770,PRADEEP SINGH THAKUR,Shiv Sena,121,Chhattisgarh - Raipur City West
771,PREMDAS RAO,Ambedkarite Party of India,120,Chhattisgarh - Raipur City West
772,ENGINEER ASHOK TAMRAKAR,Chhattisgarhi Samaj Party,110,Chhattisgarh - Raipur City West
773,BHARAT SINGH RAJPUT,Independent,101,Chhattisgarh - Raipur City West
774,SHIVKUMAR SAHU ALIAS GOLU SAHU,Independent,97,Chhattisgarh - Raipur City West
775,DR. KHEMSINGH TELI,Independent,94,Chhattisgarh - Raipur City West
776,BILLAKURTY GAURAV,Bharat Bhoomi Party,93,Chhattisgarh - Raipur City West
777,HARINDER ARORA,Republican Party of India (A),86,Chhattisgarh - Raipur City West
778,TILOKA BAI SAHU,Independent,81,Chhattisgarh - Raipur City West
779,VISHNU RAM SAHU,Independent,78,Chhattisgarh - Raipur City West
780,PRITI SAGAR,Independent,76,Chhattisgarh - Raipur City West
781,DINDAYAL BANJARE,Independent,70,Chhattisgarh - Raipur City West
782,SUNIL YADAV,Chhattisgarh Sanyukt Jatiye Party,69,Chhattisgarh - Raipur City West
783,BAIKUNTH SONA,Independent,68,Chhattisgarh - Raipur City West
784,SHRI DIGAMBAR JANAKPURI,Independent,58,Chhattisgarh - Raipur City West
785,NOOR SHABA,Independent,54,Chhattisgarh - Raipur City West
786,GANGA BAI SAHU,Independent,46,Chhattisgarh - Raipur City West
787,TUKARAM SAHU,Independent,43,Chhattisgarh - Raipur City West
788,None of the Above,None of the Above,779,Chhattisgarh - Raipur City West
789,KULDEEP JUNEJA,Indian National Congress,59843,Chhattisgarh - Raipur City North
790,SHRI CHAND SUNDRANI,Bharatiya Janata Party,43502,Chhattisgarh - Raipur City North
791,AMAR GIDWANI,Janta Congress Chhattisgarh (J),2510,Chhattisgarh - Raipur City North
792,YOGENDRA SEN,Aam Aadmi Party,898,Chhattisgarh - Raipur City North
793,SHANKAR LAL VARANDANI,Independent,686,Chhattisgarh - Raipur City North
794,SHEKHAR TANDI,Independent,373,Chhattisgarh - Raipur City North
795,HARI BANDHU NAIK,Independent,323,Chhattisgarh - Raipur City North
796,NISHAR JAHAN,Independent,176,Chhattisgarh - Raipur City North
797,HAIDER BHATI,Independent,142,Chhattisgarh - Raipur City North
798,MO. MEHNDI HASAN BHATI,Independent,139,Chhattisgarh - Raipur City North
799,VIKAS MOTWANI,Shiv Sena,132,Chhattisgarh - Raipur City North
800,M. ZUBAIR KHAN,Ambedkarite Party of India,129,Chhattisgarh - Raipur City North
801,PRAKASH NARAYAN SHUKLA,Akhil Bharat Hindu Mahasabha,121,Chhattisgarh - Raipur City North
802,MD. DANISH QUADRI,Independent,78,Chhattisgarh - Raipur City North
803,IQBAL ALI,Independent,72,Chhattisgarh - Raipur City North
804,MO. JAVED BHATI,Independent,70,Chhattisgarh - Raipur City North
805,DR KAILASH ADIL,Independent,60,Chhattisgarh - Raipur City North
806,PRAVIN JAIN,Akhil Bhartiya Sarvadharma Samaj Party,56,Chhattisgarh - Raipur City North
807,None of the Above,None of the Above,705,Chhattisgarh - Raipur City North
808,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,77589,Chhattisgarh - Raipur City South
809,KANHAIYA AGRAWAL,Indian National Congress,60093,Chhattisgarh - Raipur City South
810,UMESH DAS MANIKPURI,Bahujan Samaj Party,1514,Chhattisgarh - Raipur City South
811,MUNNA BISEN,Aam Aadmi Party,1363,Chhattisgarh - Raipur City South
812,MANISH THAKUR,Bhartiya Tribal Party,491,Chhattisgarh - Raipur City South
813,AATMADAS  MAHESHWARI,Rashtriya Jansabha Party,354,Chhattisgarh - Raipur City South
814,MUKESH KUMAR LOKHANDE,Ambedkarite Party of India,316,Chhattisgarh - Raipur City South
815,MANISH SHRIVASTAV,Independent,260,Chhattisgarh - Raipur City South
816,RESHAM LAL JANGDE,Shiv Sena,226,Chhattisgarh - Raipur City South
817,SANTOSH SAHU,Independent,221,Chhattisgarh - Raipur City South
