,Candidate,Party,Votes,Constituency
818,NUSRAT  BEGUM,Independent,210,Chhattisgarh - Raipur City South
819,MANJU BAI YADAV,Independent,205,Chhattisgarh - Raipur City South
820,ABDUL RAZZAK,Independent,189,Chhattisgarh - Raipur City South
821,BISESHER BAGHMAR,Bhartiya Panchyat Party,185,Chhattisgarh - Raipur City South
822,NEERAJ SAINI (PUJARI),Akhil Bharat Hindu Mahasabha,166,Chhattisgarh - Raipur City South
823,ANIL KUMAR KADAM,Independent,166,Chhattisgarh - Raipur City South
824,HABIB KHAN,Independent,152,Chhattisgarh - Raipur City South
825,SMT. RUBEENA ANJUM,Independent,150,Chhattisgarh - Raipur City South
826,PAVAN SHUKLA,Independent,145,Chhattisgarh - Raipur City South
827,MAZHAR IQBAL,Rashtriya Gondvana Party,138,Chhattisgarh - Raipur City South
828,BHARATLAL SONI,Bharat Bhoomi Party,124,Chhattisgarh - Raipur City South
829,SHEKH RAHMUDOODIN,Independent,99,Chhattisgarh - Raipur City South
830,A. NAZIR,Independent,98,Chhattisgarh - Raipur City South
831,ILIYAS HUSSAIN,Bhartiya Sarvjan Hitay Samaj Party,86,Chhattisgarh - Raipur City South
832,JAGESHWER PRASAD TIWARI,Janata Dal  (United),80,Chhattisgarh - Raipur City South
833,SHEIKH ASIF KHAN,Independent,79,Chhattisgarh - Raipur City South
834,DR. GOJUPAUL,Republican Party of India (A),78,Chhattisgarh - Raipur City South
835,ABDUL SHEIKH NAIM,Independent,77,Chhattisgarh - Raipur City South
836,SUBHASH KURRE,Independent,76,Chhattisgarh - Raipur City South
837,PRAVIN JAIN,Akhil Bhartiya Sarvadharma Samaj Party,73,Chhattisgarh - Raipur City South
838,DHEERAJ TIWARI,Anjaan Aadmi Party,66,Chhattisgarh - Raipur City South
839,IMRAN BAKS,Independent,62,Chhattisgarh - Raipur City South
840,EMRAN ALI,Independent,62,Chhattisgarh - Raipur City South
841,MO. AJAZ AHMED,Independent,58,Chhattisgarh - Raipur City South
842,SHAYRA BANO,Independent,54,Chhattisgarh - Raipur City South
843,NAIM ANSARI,Independent,54,Chhattisgarh - Raipur City South
844,ASHA BARELE,Independent,48,Chhattisgarh - Raipur City South
845,SHANKAR LAL VARANDANI,Independent,44,Chhattisgarh - Raipur City South
846,AAMNA BEGAM,Independent,41,Chhattisgarh - Raipur City South
847,RUMANA HUSSAIN,Independent,39,Chhattisgarh - Raipur City South
848,SHARIQ  ALMAS,Independent,37,Chhattisgarh - Raipur City South
849,M. VAKIL SHDDHAQUI,Independent,35,Chhattisgarh - Raipur City South
850,SALIM KHAN,Independent,32,Chhattisgarh - Raipur City South
851,MO. AHMAD,Independent,30,Chhattisgarh - Raipur City South
852,SHAGUFTA AFROZ,Independent,27,Chhattisgarh - Raipur City South
853,SHABUDDIN,Independent,25,Chhattisgarh - Raipur City South
854,None of the Above,None of the Above,1521,Chhattisgarh - Raipur City South
855,DR. SHIVKUMAR DAHARIYA,Indian National Congress,69900,Chhattisgarh - Arang
856,SANJAY DHIDHI,Bharatiya Janata Party,44823,Chhattisgarh - Arang
857,SANJAY CHELAK,Janta Congress Chhattisgarh (J),27903,Chhattisgarh - Arang
858,SHARDA BANJARE,Independent,3042,Chhattisgarh - Arang
859,NARAYAN PRASAD TANDAN,Independent,1528,Chhattisgarh - Arang
860,DAGESHVAR BHARTI,Aam Aadmi Party,1423,Chhattisgarh - Arang
861,SANTOSH KUMAR DAHARIYA,Shiv Sena,1112,Chhattisgarh - Arang
862,SANJAY KUMAR KOSARIYA,Chhattisgarh Vikas  Party,1053,Chhattisgarh - Arang
863,NAROTTAM BANJARE,Independent,552,Chhattisgarh - Arang
864,ASHOK SONWANI,Independent,439,Chhattisgarh - Arang
865,GAJENDRA SINGH KOSHLEY,Independent,379,Chhattisgarh - Arang
866,DR. UDAY RATRE,Independent,361,Chhattisgarh - Arang
867,NEHA BAGHEL,Bharatiya Bahujan Congress,360,Chhattisgarh - Arang
868,TARJAN JANGADE,Independent,315,Chhattisgarh - Arang
869,RIJHENDRA KUMAR DAHARIYA,Rashtriya Jansabha Party,265,Chhattisgarh - Arang
870,ADVOCATE SHAILENDRA BANJARE(SHAKTI PUTRA ),Shakti Sena (Bharat Desh),202,Chhattisgarh - Arang
871,None of the Above,None of the Above,1321,Chhattisgarh - Arang
872,DHANENDRA SAHU,Indian National Congress,76761,Chhattisgarh - Abhanpur
873,CHANDRASHEKHAR SAHU - CHAMPU BHAIYYA,Bharatiya Janata Party,53290,Chhattisgarh - Abhanpur
874,DAYARAM NISHAD,Janta Congress Chhattisgarh (J),21324,Chhattisgarh - Abhanpur
875,BRAMHANAND SAHU,Independent,2249,Chhattisgarh - Abhanpur
876,SHWETA RAKESH SAHU,Independent,2040,Chhattisgarh - Abhanpur
877,TIKENDRA SINGH THAKUR,Nationalist Congress Party,1242,Chhattisgarh - Abhanpur
878,SHAKUNTALA MANDLE,Independent,962,Chhattisgarh - Abhanpur
879,SANJAY RAI,Aam Aadmi Party,695,Chhattisgarh - Abhanpur
880,SAVITRI PAL,Independent,582,Chhattisgarh - Abhanpur
881,BHUNESHWAR,Independent,479,Chhattisgarh - Abhanpur
882,TEKESHWAR CHATURVEDI,Independent,244,Chhattisgarh - Abhanpur
883,DEEPAK KUMAR NAVRANGE,Independent,182,Chhattisgarh - Abhanpur
884,None of the Above,None of the Above,3005,Chhattisgarh - Abhanpur
885,AMITESH SHUKLA,Indian National Congress,99041,Chhattisgarh - Rajim
886,SANTOSH UPADHYAY,Bharatiya Janata Party,40909,Chhattisgarh - Rajim
887,ROHIT SAHU,Janta Congress Chhattisgarh (J),23776,Chhattisgarh - Rajim
888,VISHWANATH SONWANI,Independent,1474,Chhattisgarh - Rajim
889,BHUSHAN SAHU,Bhartiya Shakti Chetna Party,1136,Chhattisgarh - Rajim
890,TEJRAM SAHU VIDROHI,Communist Party of India (Marxist-Leninist) Red Star,934,Chhattisgarh - Rajim
891,PARDESHI RAM DHRUW,Gondvana Gantantra Party,769,Chhattisgarh - Rajim
892,DEVRAJ THAKUR,Independent,662,Chhattisgarh - Rajim
893,RAJA THAKUR,Aam Aadmi Party,610,Chhattisgarh - Rajim
894,GANESH SONI URF BABA,Independent,574,Chhattisgarh - Rajim
895,GOPAL JETHI,Independent,420,Chhattisgarh - Rajim
896,FALENDRA KUMAR SAHU,Pichhara Samaj Party United,404,Chhattisgarh - Rajim
897,None of the Above,None of the Above,4844,Chhattisgarh - Rajim
898,DAMARUDHAR PUJARI,Bharatiya Janata Party,79619,Chhattisgarh - Bindranawagarh
899,SANJAY NETAM,Indian National Congress,69189,Chhattisgarh - Bindranawagarh
900,ONKAR SHAH,Gondvana Gantantra Party,19022,Chhattisgarh - Bindranawagarh
901,DEVENDRA THAKUR,Bahujan Samaj Party,2752,Chhattisgarh - Bindranawagarh
902,SIYARAM NAGESH,Aam Aadmi Party,2378,Chhattisgarh - Bindranawagarh
903,BHOJLAL NETAM,Communist Party of India (Marxist-Leninist) Red Star,2083,Chhattisgarh - Bindranawagarh
904,None of the Above,None of the Above,5515,Chhattisgarh - Bindranawagarh
905,DR. LAKSHMI DHRUW,Indian National Congress,88451,Chhattisgarh - Sihawa
906,PINKY SHIVRAJ SHAH,Bharatiya Janata Party,43015,Chhattisgarh - Sihawa
907,VINOD KUMAR NAGWANSHI,Gondvana Gantantra Party,8126,Chhattisgarh - Sihawa
908,MAKHAN LAL MARKAM,Independent,4729,Chhattisgarh - Sihawa
909,SHANTANU SOM,Janta Congress Chhattisgarh (J),2312,Chhattisgarh - Sihawa
910,AKBAR MANDAVI,Aam Aadmi Party,1544,Chhattisgarh - Sihawa
911,JAGANNATH DHRUW,Loktantrik Samajwadi Party,1399,Chhattisgarh - Sihawa
912,MADALSA DHRUV (RUKHMANI),Independent,1155,Chhattisgarh - Sihawa
913,BHAGIRAM MANDAVI,Independent,746,Chhattisgarh - Sihawa
914,JETHURAM DHRUV,Independent,541,Chhattisgarh - Sihawa
915,ISHWAR LAL KORRAM,Ambedkarite Party of India,371,Chhattisgarh - Sihawa
916,None of the Above,None of the Above,4306,Chhattisgarh - Sihawa
917,AJAY CHANDRAKAR,Bharatiya Janata Party,72922,Chhattisgarh - Kurud
918,NEELAM CHANDRAKAR,Independent,60605,Chhattisgarh - Kurud
919,LAXMIKANTA SAHU,Indian National Congress,26483,Chhattisgarh - Kurud
920,KANHAIYA LAL SAHU,Bahujan Samaj Party,2888,Chhattisgarh - Kurud
921,YUGESHWAR SAHU,Independent,1341,Chhattisgarh - Kurud
922,NEERA CHANDRAKAR,Independent,1253,Chhattisgarh - Kurud
923,TEJENDRA KUMAR TODEKAR,Aam Aadmi Party,1252,Chhattisgarh - Kurud
924,AJIT AGRAWAL,Independent,672,Chhattisgarh - Kurud
925,DINESH SAHU,Independent,609,Chhattisgarh - Kurud
926,CHANDRAHAS SAHU,Independent,353,Chhattisgarh - Kurud
927,RAGHUNANDAN SAHU,Janata Dal  (United),347,Chhattisgarh - Kurud
928,DOMAR SINGH,Independent,339,Chhattisgarh - Kurud
929,None of the Above,None of the Above,3470,Chhattisgarh - Kurud
930,RANJANA DIPENDRA  SAHU,Bharatiya Janata Party,63198,Chhattisgarh - Dhamtari
931,GURUMUKH SINGH HORA,Indian National Congress,62734,Chhattisgarh - Dhamtari
932,ANAND PAWAR,Independent,29163,Chhattisgarh - Dhamtari
933,DIGVIJAY SINGH KRIDUTT,Janta Congress Chhattisgarh (J),3299,Chhattisgarh - Dhamtari
934,RAJESHWARI DOMAN SAHU,Independent,2856,Chhattisgarh - Dhamtari
935,TIRATH RAJ FUTAN (GADDI),Independent,2061,Chhattisgarh - Dhamtari
936,SHATRUHAN SINGH SAHU,Aam Aadmi Party,1736,Chhattisgarh - Dhamtari
937,BHAGESH BAID,Independent,1585,Chhattisgarh - Dhamtari
938,RANJANA SAHU,Independent,1189,Chhattisgarh - Dhamtari
939,KEWAL SINGH NETAM,Gondvana Gantantra Party,812,Chhattisgarh - Dhamtari
940,GYANCHAND PARAKH (GYANU),Independent,655,Chhattisgarh - Dhamtari
941,AKASH DEWANGAN,Independent,566,Chhattisgarh - Dhamtari
942,BHARATLAL SATNAMI,Independent,537,Chhattisgarh - Dhamtari
943,DR. GEINDLAL SATNAMI,Independent,478,Chhattisgarh - Dhamtari
944,DR. NEPALSINGH SAHU,Independent,350,Chhattisgarh - Dhamtari
945,GOPAL JOSHI,Independent,269,Chhattisgarh - Dhamtari
946,JANMEJAI MAHILANGE,Rashtriya Jansabha Party,222,Chhattisgarh - Dhamtari
947,YOGENDRA KUMAR SAHU,Pichhara Samaj Party United,221,Chhattisgarh - Dhamtari
948,None of the Above,None of the Above,551,Chhattisgarh - Dhamtari
949,SANGEETA SINHA,Indian National Congress,90428,Chhattisgarh - Sanjari balod
950,PAWAN SAHU,Bharatiya Janata Party,62940,Chhattisgarh - Sanjari balod
951,ARJUN HIRWANI,Janta Congress Chhattisgarh (J),12664,Chhattisgarh - Sanjari balod
952,BHUPESH KUMAR SAHU,Independent,2401,Chhattisgarh - Sanjari balod
953,KAMINI DHURVE,Aam Aadmi Party,1770,Chhattisgarh - Sanjari balod
954,GHANSHYAM SINGH THAKUR,Independent,961,Chhattisgarh - Sanjari balod
955,ROHIT KUMAR NISHAD,Shiv Sena,614,Chhattisgarh - Sanjari balod
956,RENU YADAV,Samajwadi Party,500,Chhattisgarh - Sanjari balod
957,MANOJ KUMAR SORI,National Democratic Peoples Front,280,Chhattisgarh - Sanjari balod
958,None of the Above,None of the Above,2913,Chhattisgarh - Sanjari balod
959,ANILA BHENDIA,Indian National Congress,67448,Chhattisgarh - Dondi lohara
960,LAL MAHENDRA SINGH TEKAM,Bharatiya Janata Party,34345,Chhattisgarh - Dondi lohara
961,DEV LAL THAKUR,Independent,21360,Chhattisgarh - Dondi lohara
962,JANAK LAL THAKUR,Independent,19242,Chhattisgarh - Dondi lohara
963,RAJESH CHURENDRA,Janta Congress Chhattisgarh (J),13929,Chhattisgarh - Dondi lohara
964,HITESHWARI KOTHARI,Independent,1902,Chhattisgarh - Dondi lohara
965,MAHESH KUMAR KORETI,Ambedkarite Party of India,1279,Chhattisgarh - Dondi lohara
966,RAMESH KUMAR CHURENDRA,Swabhiman Party,1256,Chhattisgarh - Dondi lohara
967,YUGAL KISHOR RATRE,Aam Aadmi Party,1100,Chhattisgarh - Dondi lohara
968,None of the Above,None of the Above,4842,Chhattisgarh - Dondi lohara
969,KUNWER SINGH NISHAD,Indian National Congress,110369,Chhattisgarh - Gunderdehi
970,DEEPAK TARACHAND SAHU,Bharatiya Janata Party,54975,Chhattisgarh - Gunderdehi
971,RAJENDRA KUMAR RAI,Janta Congress Chhattisgarh (J),8648,Chhattisgarh - Gunderdehi
972,RAMAN KUMAR  SAHU,Independent,1835,Chhattisgarh - Gunderdehi
973,NAMRATA SONI,Aam Aadmi Party,1261,Chhattisgarh - Gunderdehi
974,CHANDRAHAS KALICHARAN SAHU,Bhartiya Panchyat Party,909,Chhattisgarh - Gunderdehi
975,DHANNULAL MARKANDE,Independent,671,Chhattisgarh - Gunderdehi
976,BUDHELAL KOSLE,Independent,655,Chhattisgarh - Gunderdehi
977,NEETA SAHU,Shiv Sena,582,Chhattisgarh - Gunderdehi
978,MITHILESH PISDA,Ambedkarite Party of India,513,Chhattisgarh - Gunderdehi
979,GAURAV KUMAR CHANDRAKAR,Independent,496,Chhattisgarh - Gunderdehi
980,TAMRAJDHWAJ SAHU,Chhattisgarh Swabhiman Manch,429,Chhattisgarh - Gunderdehi
981,LEDGU RAM,Rashtriya Jansabha Party,347,Chhattisgarh - Gunderdehi
982,None of the Above,None of the Above,5014,Chhattisgarh - Gunderdehi
983,BHUPESH BAGHEL,Indian National Congress,84352,Chhattisgarh - Patan
984,MOTILAL SAHU,Bharatiya Janata Party,56875,Chhattisgarh - Patan
985,SHAKUNTALA SAHU,Janta Congress Chhattisgarh (J),13201,Chhattisgarh - Patan
986,HAIDAR BHATEE,Independent,1450,Chhattisgarh - Patan
987,DINESH KUMAR KURRE,Ambedkarite Party of India,788,Chhattisgarh - Patan
988,RAM PRASAD KOSLE NETA JI,Rashtriya Jansabha Party,621,Chhattisgarh - Patan
989,DURGA JHA,Aam Aadmi Party,495,Chhattisgarh - Patan
990,TIKENDRA VERMA,Independent,492,Chhattisgarh - Patan
991,DR. HARISHCHANDRA SAHU,Independent,456,Chhattisgarh - Patan
992,None of the Above,None of the Above,3939,Chhattisgarh - Patan
993,TAMRADHWAJ SAHU,Indian National Congress,76208,Chhattisgarh - Durg Gramin
994,JAGESHWAR SAHU,Bharatiya Janata Party,49096,Chhattisgarh - Durg Gramin
995,DR. BALMUKUND DEWANGAN,Janta Congress Chhattisgarh (J),11485,Chhattisgarh - Durg Gramin
996,CHUMMAN LAL DESHMUKH,Independent,2819,Chhattisgarh - Durg Gramin
997,BALMUKUND DEWANGAN,Independent,2069,Chhattisgarh - Durg Gramin
998,BADRI PRASAD PARKAR,Chhattisgarh Swabhiman Manch,1336,Chhattisgarh - Durg Gramin
999,ISHWARI KURRE,Aam Aadmi Party,1286,Chhattisgarh - Durg Gramin
1000,SATISH PARAKH,Democratic Party of India,970,Chhattisgarh - Durg Gramin
1001,JAGESHWAR KUMAR SAHU,Independent,553,Chhattisgarh - Durg Gramin
1002,None of the Above,None of the Above,2603,Chhattisgarh - Durg Gramin
1003,ARUN VORA,Indian National Congress,64981,Chhattisgarh - Durg City
1004,CHANDRIKA CHANDRAKAR,Bharatiya Janata Party,43900,Chhattisgarh - Durg City
1005,PRATAP MADHYANI,Janta Congress Chhattisgarh (J),20634,Chhattisgarh - Durg City
1006,KANCHAN SHENDRE,Independent,1733,Chhattisgarh - Durg City
1007,DR. S. K. AGRAWAL,Aam Aadmi Party,1701,Chhattisgarh - Durg City
1008,SUBHASH KUMAR PAUL,India Praja Bandhu Party,554,Chhattisgarh - Durg City
1009,KAMLESH KUMAR NAGARCHI,Independent,553,Chhattisgarh - Durg City
1010,BRAMHA TIWARI,Independent,462,Chhattisgarh - Durg City
1011,ANOOP KUMAR PANDEY,Independent,398,Chhattisgarh - Durg City
1012,AATMA RAM SAHU,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),375,Chhattisgarh - Durg City
1013,BALDEV SINGH SAHU,Chhattisgarh Swabhiman Manch,339,Chhattisgarh - Durg City
1014,RAS BIHARI BARI,Independent,319,Chhattisgarh - Durg City
1015,SUNIL KUMAR MARKANDEY,Ambedkarite Party of India,309,Chhattisgarh - Durg City
1016,ARUN KUMAR JOSHI,Independent,269,Chhattisgarh - Durg City
1017,TAMESHWAR TIWARI,Akhil Bharat Hindu Mahasabha,262,Chhattisgarh - Durg City
1018,BRAJESH KUMAR YADAV,Samajwadi Party,257,Chhattisgarh - Durg City
1019,SURYA NARAYAN SONWANI,Pichhara Samaj Party United,234,Chhattisgarh - Durg City
1020,MAHELKA BEGUM SHEKH,Independent,148,Chhattisgarh - Durg City
1021,SURESH KUMAR VERMA,Independent,128,Chhattisgarh - Durg City
1022,SUJATA SINGH,Bhartiya Panchyat Party,123,Chhattisgarh - Durg City
1023,ADVOCATE RAMRATAN SAHU,Independent,63,Chhattisgarh - Durg City
1024,None of the Above,None of the Above,1471,Chhattisgarh - Durg City
1025,DEVENDRA  YADAV,Indian National Congress,51044,Chhattisgarh - Bhilai Nagar
1026,PREM PRAKASH PANDEY,Bharatiya Janata Party,48195,Chhattisgarh - Bhilai Nagar
1027,DEENANATH JAISWAR,Bahujan Samaj Party,2662,Chhattisgarh - Bhilai Nagar
1028,SHATRUGHAN PRASAD,Independent,592,Chhattisgarh - Bhilai Nagar
1029,SURESH KUMAR ADIL,Independent,544,Chhattisgarh - Bhilai Nagar
1030,THANENDRA SAHU,Swabhiman Party,319,Chhattisgarh - Bhilai Nagar
1031,MO. RAZA SIDDIQUE,Aam Aadmi Party,276,Chhattisgarh - Bhilai Nagar
1032,AENUL HAQUE KHAN,Bhrashtachar Mukti Morcha,216,Chhattisgarh - Bhilai Nagar
1033,RAMPYARI BHARTI,Independent,208,Chhattisgarh - Bhilai Nagar
1034,BIJU JOHNSON,Chhattisgarh Swabhiman Manch,149,Chhattisgarh - Bhilai Nagar
1035,JAVED KHAN,Independent,123,Chhattisgarh - Bhilai Nagar
1036,ANWARUL HAQUE,Independent,91,Chhattisgarh - Bhilai Nagar
1037,JANISAR AKHTAR,Rashtriya Samajwadi Swabhiman Manch,72,Chhattisgarh - Bhilai Nagar
1038,MO. NASEEM,Bahujan Mukti Party,55,Chhattisgarh - Bhilai Nagar
1039,None of the Above,None of the Above,1147,Chhattisgarh - Bhilai Nagar
1040,VIDYA RATAN BHASIN,Bharatiya Janata Party,72920,Chhattisgarh - Vaishali Nagar
1041,BADRUDDIN QURESHI,Indian National Congress,54840,Chhattisgarh - Vaishali Nagar
1042,MANOJ KUMAR,Janta Congress Chhattisgarh (J),10696,Chhattisgarh - Vaishali Nagar
1043,HEMANT CHAUHAN,Independent,797,Chhattisgarh - Vaishali Nagar
1044,ANJULA BHARGAVA,Aam Aadmi Party,777,Chhattisgarh - Vaishali Nagar
1045,SHANKAR LAL SAHU,Bhrashtachar Mukti Morcha,568,Chhattisgarh - Vaishali Nagar
1046,LATA NUNHADE,Chhattisgarh Swabhiman Manch,472,Chhattisgarh - Vaishali Nagar
1047,ASHWINI KUMAR SHUKLA,Swabhiman Party,448,Chhattisgarh - Vaishali Nagar
1048,PANKAJ SIRSAT,Ambedkarite Party of India,414,Chhattisgarh - Vaishali Nagar
1049,SUBEDAR SINGH YADAV,Samajwadi Party,412,Chhattisgarh - Vaishali Nagar
1050,YAGESHWAR SAHU,Independent,381,Chhattisgarh - Vaishali Nagar
1051,RAJKISHOR GUPTA,Independent,379,Chhattisgarh - Vaishali Nagar
1052,NAZRUL KHAN,Independent,356,Chhattisgarh - Vaishali Nagar
1053,JANISAR AKHTAR,Independent,306,Chhattisgarh - Vaishali Nagar
1054,ALI HUSSAIN SIDDIQUI,Independent,185,Chhattisgarh - Vaishali Nagar
1055,None of the Above,None of the Above,2724,Chhattisgarh - Vaishali Nagar
1056,GURU RUDRA KUMAR,Indian National Congress,88735,Chhattisgarh - Ahiwara
1057,RAJMAHANT SANWLA RAM DAHRE,Bharatiya Janata Party,57048,Chhattisgarh - Ahiwara
1058,DR.SHOBHA RAM BANJARE,Bahujan Samaj Party,5844,Chhattisgarh - Ahiwara
1059,RAM KUMAR SURVANSHI,Independent,1513,Chhattisgarh - Ahiwara
1060,AJAY RAMTEKE,Aam Aadmi Party,1178,Chhattisgarh - Ahiwara
1061,RAMBAGAS BHARTI,Independent,705,Chhattisgarh - Ahiwara
1062,PADMA PATIL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),673,Chhattisgarh - Ahiwara
1063,MANOJ KUMAR LAHARE,Ambedkarite Party of India,638,Chhattisgarh - Ahiwara
1064,GAIND LAL RAI,Independent,595,Chhattisgarh - Ahiwara
1065,NANDKUMAR MAHILANG,Independent,507,Chhattisgarh - Ahiwara
1066,ADVOCATE SHAILENDRA KUMAR BANJARE (SHAKTI PUTRA),Shakti Sena (Bharat Desh),266,Chhattisgarh - Ahiwara
1067,None of the Above,None of the Above,3681,Chhattisgarh - Ahiwara
1068,RAVINDRA CHAUBE,Indian National Congress,95658,Chhattisgarh - Saja
1069,LABHCHAND BAFNA,Bharatiya Janata Party,64123,Chhattisgarh - Saja
1070,TEKSINGH CHANDEL,Janta Congress Chhattisgarh (J),6206,Chhattisgarh - Saja
1071,BASANT AGRAWAL,Independent,5700,Chhattisgarh - Saja
1072,LOCHAN SAHU,Independent,4274,Chhattisgarh - Saja
1073,ASHOK KUMAR SINGHANIYA,Aam Aadmi Party,637,Chhattisgarh - Saja
1074,RAKESH SINGH,Independent,602,Chhattisgarh - Saja
1075,KAUSHILYA NARANG,Independent,491,Chhattisgarh - Saja
1076,GULAB SINGH LODHI,Bhartiya Shakti Chetna Party,368,Chhattisgarh - Saja
1077,YESWANT BHARGOW,Independent,308,Chhattisgarh - Saja
1078,CHITREN LODHI,Shiv Sena,303,Chhattisgarh - Saja
1079,BHAGATRAM,Independent,262,Chhattisgarh - Saja
1080,ROHIT SINHA,Janata Dal  (United),204,Chhattisgarh - Saja
1081,KISHAN SAHU,Independent,199,Chhattisgarh - Saja
1082,ASHOK TANDULKER,Independent,146,Chhattisgarh - Saja
1083,None of the Above,None of the Above,5840,Chhattisgarh - Saja
1084,ASHISH KUMAR CHHABRA,Indian National Congress,74914,Chhattisgarh - Bemetara
1085,AWADHESH SINGH CHANDEL,Bharatiya Janata Party,49783,Chhattisgarh - Bemetara
1086,YOGESH TIWARI,Janta Congress Chhattisgarh (J),28332,Chhattisgarh - Bemetara
