,Candidate,Party,Votes,Constituency
1087,SANJEEV AGRAWAL,Independent,4374,Chhattisgarh - Bemetara
1088,SOHAN LAL NISHAD,Nirbal Indian Shoshit Hamara Aam Dal,4275,Chhattisgarh - Bemetara
1089,CHURAMAN SINGH SAHU,Janata Dal  (United),1713,Chhattisgarh - Bemetara
1090,ANJOR DHAS MAHANT,Independent,1332,Chhattisgarh - Bemetara
1091,RAMCHAND SAHU,Independent,969,Chhattisgarh - Bemetara
1092,DAURAM CHOUHAN,Shiv Sena,638,Chhattisgarh - Bemetara
1093,SAIYAD FARUQUE ALI,Aam Aadmi Party,613,Chhattisgarh - Bemetara
1094,YASHWANT SITARAM SAHU,Bhartiya Shakti Chetna Party,526,Chhattisgarh - Bemetara
1095,RAJESH DUBEY,Independent,469,Chhattisgarh - Bemetara
1096,MANMOHAN THAKUR,Independent,375,Chhattisgarh - Bemetara
1097,BHUNESHWAR SATNAMI,Independent,362,Chhattisgarh - Bemetara
1098,BALDAU PRASAD SIWARE,Ambedkarite Party of India,343,Chhattisgarh - Bemetara
1099,None of the Above,None of the Above,3789,Chhattisgarh - Bemetara
1100,GURUDAYAL SINGH  BANJARE,Indian National Congress,86779,Chhattisgarh - Navagarh
1101,DAYALDAS BAGHEL,Bharatiya Janata Party,53579,Chhattisgarh - Navagarh
1102,OMPRAKASH BATCHPAYI,Bahujan Samaj Party,18576,Chhattisgarh - Navagarh
1103,HEMANT KUMAR MAHILANG,Independent,3501,Chhattisgarh - Navagarh
1104,HIRALAL ANANT,Independent,3389,Chhattisgarh - Navagarh
1105,BHAI HARIKISHAN,Independent,1484,Chhattisgarh - Navagarh
1106,ANJORDAS GHRITLAHARE,Aam Aadmi Party,1081,Chhattisgarh - Navagarh
1107,LAKHVIR SINGH,Independent,677,Chhattisgarh - Navagarh
1108,RAJU PATREY,Shiv Sena,593,Chhattisgarh - Navagarh
1109,RAMAKANT RAY,Independent,369,Chhattisgarh - Navagarh
1110,ANAND NAWAGARHIYA,Independent,325,Chhattisgarh - Navagarh
1111,BHASKAR GHOSH,Independent,313,Chhattisgarh - Navagarh
1112,TEK RAM KOSHLE,Independent,275,Chhattisgarh - Navagarh
1113,BHAGBALI SIWARE,Independent,264,Chhattisgarh - Navagarh
1114,BHARAT LAL PATALEY,Independent,255,Chhattisgarh - Navagarh
1115,None of the Above,None of the Above,2196,Chhattisgarh - Navagarh
1116,MAMTA CHANDRAKAR,Indian National Congress,100907,Chhattisgarh - Pandariya
1117,MOTIRAM CHANDRAVANSHI,Bharatiya Janata Party,64420,Chhattisgarh - Pandariya
1118,CHAITRAM RAJ,Bahujan Samaj Party,33547,Chhattisgarh - Pandariya
1119,HARENDRA KUMAR DAHIRE,Independent,2511,Chhattisgarh - Pandariya
1120,RAMKUMAR SINHA,Independent,2450,Chhattisgarh - Pandariya
1121,RESHAMLAL PATRE,Independent,2266,Chhattisgarh - Pandariya
1122,NARENDRA TIWARI,Shiv Sena,1558,Chhattisgarh - Pandariya
1123,GHANSHYAM YADAV,Independent,1381,Chhattisgarh - Pandariya
1124,NARAYAN SINGH BAUDDH,Independent,1341,Chhattisgarh - Pandariya
1125,CHANDRAPRATAP SAHU,Independent,800,Chhattisgarh - Pandariya
1126,DHARMENDRA KUMAR,Independent,657,Chhattisgarh - Pandariya
1127,"SANDEEP TIWARI ""RAJ""",Bhartiya Sarvjan Hitay Samaj Party,476,Chhattisgarh - Pandariya
1128,None of the Above,None of the Above,5234,Chhattisgarh - Pandariya
1129,AKBAR BHAI,Indian National Congress,136320,Chhattisgarh - Kawardha
1130,ASHOK SAHU,Bharatiya Janata Party,77036,Chhattisgarh - Kawardha
1131,RAMKHILAWAN DAHARIYA,Independent,6604,Chhattisgarh - Kawardha
1132,AGAM DAS ANANT,Janta Congress Chhattisgarh (J),6250,Chhattisgarh - Kawardha
1133,RAM KUMAR SAHU,Independent,2947,Chhattisgarh - Kawardha
1134,REKHACHAND BAGHEL,Independent,1990,Chhattisgarh - Kawardha
1135,MALESH KUMAR MARKAM,Gondvana Gantantra Party,1475,Chhattisgarh - Kawardha
1136,MOHIT SAHOO,Independent,1265,Chhattisgarh - Kawardha
1137,BHOJ KUMAR BANJARA,Independent,903,Chhattisgarh - Kawardha
1138,SIYADEVI PENDRO,Independent,701,Chhattisgarh - Kawardha
1139,AGHAN SINGH YADAV,Samajwadi Party,547,Chhattisgarh - Kawardha
1140,KAMLESH TIWARI DAMRUWALE,Independent,468,Chhattisgarh - Kawardha
1141,ASHOK SAHU,Chhattisgarh Swabhiman Manch,465,Chhattisgarh - Kawardha
1142,KRITI DEVI SINGH (YOGESHWR RAJ SINGH),Independent,459,Chhattisgarh - Kawardha
1143,GOPAL SINGH KHUSARO,Independent,438,Chhattisgarh - Kawardha
1144,KAUSHAL KUMAR MOHLE,Independent,402,Chhattisgarh - Kawardha
1145,AJAY PALI (BABA),Shiv Sena,381,Chhattisgarh - Kawardha
1146,AKBAR AJMER,Independent,342,Chhattisgarh - Kawardha
1147,SANTLAL DHURWEY,Independent,296,Chhattisgarh - Kawardha
1148,SUSHIL KUMAR SATYAVANSHI,Independent,268,Chhattisgarh - Kawardha
1149,SEWARAM PATRE,Independent,233,Chhattisgarh - Kawardha
1150,None of the Above,None of the Above,949,Chhattisgarh - Kawardha
1151,DEVWRAT SINGH,Janta Congress Chhattisgarh (J),61516,Chhattisgarh - Khairagarh
1152,KOMAL JANGHEL,Bharatiya Janata Party,60646,Chhattisgarh - Khairagarh
1153,GIRWAR JANGHEL,Indian National Congress,31811,Chhattisgarh - Khairagarh
1154,SARJU JANGHEL,Independent,4060,Chhattisgarh - Khairagarh
1155,DINESH SINGH,Shiv Sena,1775,Chhattisgarh - Khairagarh
1156,GYANENDRA KUMAR VERMA,Independent,1456,Chhattisgarh - Khairagarh
1157,YOGENDRA KUMAR THAKUR (MARKAM),Independent,1343,Chhattisgarh - Khairagarh
1158,MANOJ GUPTA,Aam Aadmi Party,1209,Chhattisgarh - Khairagarh
1159,SANTOSH DESHMUKH,Independent,1114,Chhattisgarh - Khairagarh
1160,MAHAVEER JANGHEL,Independent,599,Chhattisgarh - Khairagarh
1161,AAM AADMI MAHESH JANGHEL,Independent,528,Chhattisgarh - Khairagarh
1162,RAJESH VERMA,Ambedkarite Party of India,525,Chhattisgarh - Khairagarh
1163,AJAY SINGH,Independent,326,Chhattisgarh - Khairagarh
1164,TIJAU RAM JANGHEL,Independent,282,Chhattisgarh - Khairagarh
1165,BHUSHAN BANJARE,Independent,251,Chhattisgarh - Khairagarh
1166,None of the Above,None of the Above,3068,Chhattisgarh - Khairagarh
1167,BHUNESHWAR SHOBHARAM BAGHEL,Indian National Congress,86949,Chhattisgarh - Dongargarh
1168,SAROJANI BANJARE,Bharatiya Janata Party,51531,Chhattisgarh - Dongargarh
1169,TARUN KUMAR HATHEL,Independent,6699,Chhattisgarh - Dongargarh
1170,MISHRI LAL MARKANDE,Bahujan Samaj Party,5388,Chhattisgarh - Dongargarh
1171,DILIP KUMAR LAHARE,Gondvana Gantantra Party,1407,Chhattisgarh - Dongargarh
1172,YUVRAJ SIRMAUR,Independent,1312,Chhattisgarh - Dongargarh
1173,ANIL KUMAR UMARE,Ambedkarite Party of India,1033,Chhattisgarh - Dongargarh
1174,YEESHU CHANDEY,Aam Aadmi Party,887,Chhattisgarh - Dongargarh
1175,VIJENDRA BORKER,Independent,880,Chhattisgarh - Dongargarh
1176,MOHAN KOTLE,Independent,593,Chhattisgarh - Dongargarh
1177,None of the Above,None of the Above,3896,Chhattisgarh - Dongargarh
1178,DR. RAMAN SINGH,Bharatiya Janata Party,80589,Chhattisgarh - Rajnandgaon
1179,KARUNA SHUKLA,Indian National Congress,63656,Chhattisgarh - Rajnandgaon
1180,DEEPAK YADAV,Janta Congress Chhattisgarh (J),1858,Chhattisgarh - Rajnandgaon
1181,KAILASH SHRIVASTAVA,Independent,1782,Chhattisgarh - Rajnandgaon
1182,DR. UDAY RATRE,Independent,1093,Chhattisgarh - Rajnandgaon
1183,KRISHN KUMAR SINGH (PAPPU THAKUR),Independent,715,Chhattisgarh - Rajnandgaon
1184,AGYARAM CHOUHAN,Pichhara Samaj Party United,607,Chhattisgarh - Rajnandgaon
1185,SUKRIT DAS SAHU,Independent,463,Chhattisgarh - Rajnandgaon
1186,GURUSARAN SINGH,Independent,414,Chhattisgarh - Rajnandgaon
1187,VARUN TIWARI,Aam Aadmi Party,363,Chhattisgarh - Rajnandgaon
1188,ARVIND TIWARI,Independent,308,Chhattisgarh - Rajnandgaon
1189,LEKHU SANJAY SAHU CHHATTISGARIA,Chhattisgarh Swabhiman Manch,279,Chhattisgarh - Rajnandgaon
1190,YOUGALKISHOR SONTEKE,Ambedkarite Party of India,260,Chhattisgarh - Rajnandgaon
1191,AMOD WADEKAR,Independent,242,Chhattisgarh - Rajnandgaon
1192,PRATIMA SANTOSH WASNIK,Republican Paksha (Khoripa),202,Chhattisgarh - Rajnandgaon
1193,RITESH KUMAR MESHRAM,Independent,192,Chhattisgarh - Rajnandgaon
1194,PREMNARAYAN VERMA,Chhattisgarh Mukti Morcha,192,Chhattisgarh - Rajnandgaon
1195,JAIPRAKASH SIRVANI,Independent,178,Chhattisgarh - Rajnandgaon
1196,SHYAM RAO SUKHDEVE,Independent,166,Chhattisgarh - Rajnandgaon
1197,ANISH KHAN,Independent,145,Chhattisgarh - Rajnandgaon
1198,AKIL KHAN,Independent,124,Chhattisgarh - Rajnandgaon
1199,LEKHRAM BAGHEL,Independent,119,Chhattisgarh - Rajnandgaon
1200,SUNIL YADAV,Chhattisgarh Sanyukt Jatiye Party,114,Chhattisgarh - Rajnandgaon
1201,DINESH NAMDEO,Independent,74,Chhattisgarh - Rajnandgaon
1202,YUSUF BHAI CHHATTISGADIHA,Independent,51,Chhattisgarh - Rajnandgaon
1203,MOHAMMAD AKIL GORI,Independent,50,Chhattisgarh - Rajnandgaon
1204,RAJKUMAR,Independent,49,Chhattisgarh - Rajnandgaon
1205,PADAM CHAND LALWANY 'JAIN',Independent,47,Chhattisgarh - Rajnandgaon
1206,RAMCHARAN YADAW,Independent,45,Chhattisgarh - Rajnandgaon
1207,RAJMAHANT RAMDAYAL DAHARIYA,Independent,23,Chhattisgarh - Rajnandgaon
1208,None of the Above,None of the Above,1501,Chhattisgarh - Rajnandgaon
1209,DALESHWAR SAHU,Indian National Congress,84581,Chhattisgarh - Dongargaon
1210,MADHUSUDAN YADAV,Bharatiya Janata Party,65498,Chhattisgarh - Dongargaon
1211,VANI VILASH PATEL,Independent,1863,Chhattisgarh - Dongargaon
1212,REKHCHAND MANDLE,Independent,1782,Chhattisgarh - Dongargaon
1213,ASHOK VERMA,Bahujan Samaj Party,1482,Chhattisgarh - Dongargaon
1214,CHANDRMANI VERMA,Aam Aadmi Party,1474,Chhattisgarh - Dongargaon
1215,JITENDRA SAHU,Gondvana Gantantra Party,765,Chhattisgarh - Dongargaon
1216,MANMOHAN AGRAWAL,Independent,574,Chhattisgarh - Dongargaon
1217,SANDEEP TEMBURKAR,Ambedkarite Party of India,380,Chhattisgarh - Dongargaon
1218,BANSHI LAL SINHA,Independent,352,Chhattisgarh - Dongargaon
1219,TIJAU RAM VERMA,Independent,255,Chhattisgarh - Dongargaon
1220,RAJ KUMAR SAHU,Shiv Sena,251,Chhattisgarh - Dongargaon
1221,None of the Above,None of the Above,2257,Chhattisgarh - Dongargaon
1222,CHHANNI CHANDU SAHU,Indian National Congress,71733,Chhattisgarh - Khujji
1223,HIRENDRA KUMAR SAHU,Bharatiya Janata Party,44236,Chhattisgarh - Khujji
1224,JARNAIL SINGH BHATIYA,Janta Congress Chhattisgarh (J),14507,Chhattisgarh - Khujji
1225,MADAN LAL NETAM,Independent,6766,Chhattisgarh - Khujji
1226,RAMKRISHN YADU,Independent,3536,Chhattisgarh - Khujji
1227,DEVI LAL MARKAM,Independent,2699,Chhattisgarh - Khujji
1228,ARJUN SINGH THAKUR (KORRAM ),Ambedkarite Party of India,1031,Chhattisgarh - Khujji
1229,KAMAL DAS SAHU,Independent,910,Chhattisgarh - Khujji
1230,RAMESH YADAV,Aam Aadmi Party,839,Chhattisgarh - Khujji
1231,ANITA SINHA,Pichhara Samaj Party United,830,Chhattisgarh - Khujji
1232,DEV PARSHAD YADAV (RAJU),Shiv Sena,791,Chhattisgarh - Khujji
1233,TIJU RAM SAHU,Independent,771,Chhattisgarh - Khujji
1234,CHANDRA PRAKASH SINHA,Gondvana Gantantra Party,626,Chhattisgarh - Khujji
1235,KEDAR RAM YADAV,Independent,535,Chhattisgarh - Khujji
1236,SURENDRA SINGH,Janata Dal  (United),438,Chhattisgarh - Khujji
1237,AKIL BHAI,Independent,421,Chhattisgarh - Khujji
1238,None of the Above,None of the Above,1383,Chhattisgarh - Khujji
1239,INDRASHAH MANDAVI,Indian National Congress,50576,Chhattisgarh - Mohala-manpur
1240,KANCHAN MALA BHUARYA,Bharatiya Janata Party,29528,Chhattisgarh - Mohala-manpur
1241,SANJEET THAKUR,Janta Congress Chhattisgarh (J),28740,Chhattisgarh - Mohala-manpur
1242,SMT. KHAGESH THAKUR,Independent,3769,Chhattisgarh - Mohala-manpur
1243,RAJENDRA KUMAR USARE,Gondvana Gantantra Party,1851,Chhattisgarh - Mohala-manpur
1244,SIYARAM NUROTI,Ambedkarite Party of India,1461,Chhattisgarh - Mohala-manpur
1245,DHANESH KOLIYARE,Independent,1394,Chhattisgarh - Mohala-manpur
1246,PYARELAL KORATIA,Shiv Sena,1371,Chhattisgarh - Mohala-manpur
1247,ARJUN MANDAVI,Aam Aadmi Party,1269,Chhattisgarh - Mohala-manpur
1248,KANAK NAGVANSI,Independent,1153,Chhattisgarh - Mohala-manpur
1249,None of the Above,None of the Above,4238,Chhattisgarh - Mohala-manpur
1250,ANOOP NAG,Indian National Congress,57061,Chhattisgarh - Antagarh
1251,VIKRAM USENDI,Bharatiya Janata Party,43647,Chhattisgarh - Antagarh
1252,SUKHRANJAN USENDI URAF SILEDAR,Independent,4854,Chhattisgarh - Antagarh
1253,SANTRAM SARPHE (SALAM),Aam Aadmi Party,3981,Chhattisgarh - Antagarh
1254,HEMANT POYAM,Bahujan Samaj Party,1243,Chhattisgarh - Antagarh
1255,RUPDHAR PUDO,Ambedkarite Party of India,1085,Chhattisgarh - Antagarh
1256,LAXMAN SINGH KOMRA,Independent,922,Chhattisgarh - Antagarh
1257,NEHRU RAM KOMRA,Independent,683,Chhattisgarh - Antagarh
1258,SUNITA DHURVE MANDAL,Bhartiya Panchyat Party,663,Chhattisgarh - Antagarh
1259,PARVAR SINGH KOMRA,Gondvana Gantantra Party,607,Chhattisgarh - Antagarh
1260,BIRENDRA PARTE,Shiv Sena,484,Chhattisgarh - Antagarh
1261,None of the Above,None of the Above,4831,Chhattisgarh - Antagarh
1262,MANOJ SINGH MANDAVI,Indian National Congress,72520,Chhattisgarh - Bhanupratappur
1263,DEO LAL DUGGA,Bharatiya Janata Party,45827,Chhattisgarh - Bhanupratappur
1264,KOMAL HUPENDI,Aam Aadmi Party,9634,Chhattisgarh - Bhanupratappur
1265,MANAK DARPATTI,Janta Congress Chhattisgarh (J),9611,Chhattisgarh - Bhanupratappur
1266,SIYA RAM PARCHAPI,Gondvana Gantantra Party,2698,Chhattisgarh - Bhanupratappur
1267,SHYAM LAL GAWDE,Shiv Sena,1699,Chhattisgarh - Bhanupratappur
1268,DURGA PRASAD THAKUR,Ambedkarite Party of India,1565,Chhattisgarh - Bhanupratappur
1269,None of the Above,None of the Above,4235,Chhattisgarh - Bhanupratappur
1270,SHISHUPAL SHORI,Indian National Congress,69053,Chhattisgarh - Kanker
1271,HIRA MARKAM,Bharatiya Janata Party,49249,Chhattisgarh - Kanker
1272,HEMLAL MARKAM,Gondvana Gantantra Party,6206,Chhattisgarh - Kanker
1273,RAMSAHAY KORRAM,Bahujan Samaj Party,3014,Chhattisgarh - Kanker
1274,BISHAL DHRUW,Aam Aadmi Party,2016,Chhattisgarh - Kanker
1275,DEEPAK KUMAR USENDI,Independent,1882,Chhattisgarh - Kanker
1276,None of the Above,None of the Above,3323,Chhattisgarh - Kanker
1277,SANT RAM NETAM,Indian National Congress,73470,Chhattisgarh - Keshkal
1278,"HARISHANKAR NETAM	",Bharatiya Janata Party,56498,Chhattisgarh - Keshkal
1279,JUGALKISHOR BODH,Bahujan Samaj Party,4903,Chhattisgarh - Keshkal
1280,"KAMLESH KUMAR SALAM	",Aam Aadmi Party,2791,Chhattisgarh - Keshkal
1281,RADHIKA SODI,Communist Party of India,2180,Chhattisgarh - Keshkal
1282,SURESH KUMAR NETAM,Independent,2078,Chhattisgarh - Keshkal
1283,BINDESH RANA,Janata Dal  (United),2008,Chhattisgarh - Keshkal
1284,HIRAU RAM SHORI,Independent,1963,Chhattisgarh - Keshkal
1285,None of the Above,None of the Above,6113,Chhattisgarh - Keshkal
1286,MOHAN MARKAM,Indian National Congress,61582,Chhattisgarh - Kondagaon
1287,LATA USENDI,Bharatiya Janata Party,59786,Chhattisgarh - Kondagaon
1288,NARENDRA NETAM,Bahujan Samaj Party,4769,Chhattisgarh - Kondagaon
1289,RAMCHANDRA NAG,Communist Party of India,3883,Chhattisgarh - Kondagaon
1290,SUKHARAM NETAM,Independent,2906,Chhattisgarh - Kondagaon
1291,None of the Above,None of the Above,5146,Chhattisgarh - Kondagaon
1292,CHANDAN KASHYAP,Indian National Congress,58652,Chhattisgarh - Narayanpur
1293,KEDAR KASHYAP,Bharatiya Janata Party,56005,Chhattisgarh - Narayanpur
1294,NILAMBAR BAGHEL,Independent,2696,Chhattisgarh - Narayanpur
1295,NAREND KUMAR NAG,Aam Aadmi Party,2576,Chhattisgarh - Narayanpur
1296,BALIRAM KACHLAM,Janta Congress Chhattisgarh (J),2249,Chhattisgarh - Narayanpur
1297,RAMSHILA MANDAVI,India Praja Bandhu Party,1756,Chhattisgarh - Narayanpur
1298,PANEESH PRASAD NAG,Ambedkarite Party of India,1485,Chhattisgarh - Narayanpur
1299,None of the Above,None of the Above,6858,Chhattisgarh - Narayanpur
1300,BAGHEL LAKHESHWAR,Indian National Congress,74378,Chhattisgarh - Bastar
1301,DR. SUBHAU KASHYAP,Bharatiya Janata Party,40907,Chhattisgarh - Bastar
1302,SONSAY KASHYAP,Janta Congress Chhattisgarh (J),3688,Chhattisgarh - Bastar
1303,JAGMOHAN BAGHEL,Aam Aadmi Party,2121,Chhattisgarh - Bastar
1304,DULAB SURYAVANSHI,Independent,2034,Chhattisgarh - Bastar
1305,None of the Above,None of the Above,5083,Chhattisgarh - Bastar
1306,REKHCHAND JAIN,Indian National Congress,76556,Chhattisgarh - Jagdalpur
1307,SANTOSH BAFNA,Bharatiya Janata Party,49116,Chhattisgarh - Jagdalpur
1308,MANGALRAM KASHYAP,Communist Party of India,3020,Chhattisgarh - Jagdalpur
1309,AMIT PANDEY,Janta Congress Chhattisgarh (J),2801,Chhattisgarh - Jagdalpur
1310,NASEEM QURESHI,Independent,2306,Chhattisgarh - Jagdalpur
1311,PAPPURAM NAG,Independent,1382,Chhattisgarh - Jagdalpur
1312,SURENDRA CHALKI,India Praja Bandhu Party,1233,Chhattisgarh - Jagdalpur
1313,KARIYA DIWAN,Shiv Sena,1081,Chhattisgarh - Jagdalpur
1314,JAGATRAM NAG,Independent,1075,Chhattisgarh - Jagdalpur
1315,ROHIT SINGH ARYA,Aam Aadmi Party,861,Chhattisgarh - Jagdalpur
1316,SAROJ YADAV,Rashtriya Jansambhavna Party,717,Chhattisgarh - Jagdalpur
1317,PALANRAM SAHU,Independent,488,Chhattisgarh - Jagdalpur
1318,SHYAM GHOSH,Bhartiya Panchyat Party,475,Chhattisgarh - Jagdalpur
1319,MUNNARAM BAGHEL,Independent,410,Chhattisgarh - Jagdalpur
1320,SHIVCHARAN,Akhil Bharat Samagra Kranti Party,389,Chhattisgarh - Jagdalpur
1321,SALIM RAZA,Independent,357,Chhattisgarh - Jagdalpur
1322,PURUSHOTTAM SHUKLA,Rashtriya Gondvana Party,346,Chhattisgarh - Jagdalpur
1323,VIRENDRA  VAIDH(SINHA),Rashtriya Jansabha Party,335,Chhattisgarh - Jagdalpur
1324,VIMLESH DUBEY,Samajwadi Party,287,Chhattisgarh - Jagdalpur
1325,NANDLAL GUPTA(NANDU BHAIYYA),Bhartiya Naujawan Inklav Party,267,Chhattisgarh - Jagdalpur
1326,YASHODA VISHWAKARMA,Independent,213,Chhattisgarh - Jagdalpur
1327,None of the Above,None of the Above,936,Chhattisgarh - Jagdalpur
1328,DEEPAK  BAIJ,Indian National Congress,62616,Chhattisgarh - Chitrakot
1329,LACHHURAM KASHYAP,Bharatiya Janata Party,44846,Chhattisgarh - Chitrakot
1330,TANKESHWAR BHARDWAJ,Janta Congress Chhattisgarh (J),7494,Chhattisgarh - Chitrakot
1331,DHARMURAM KASHYAP,Independent,3032,Chhattisgarh - Chitrakot
1332,SURESH KAWASI ALIAS SARGEEM KAWASI,Shiv Sena,2297,Chhattisgarh - Chitrakot
1333,LAKHESHWAR KAWASI,Ambedkarite Party of India,1791,Chhattisgarh - Chitrakot
1334,DANTIRAM POYAM,Aam Aadmi Party,1517,Chhattisgarh - Chitrakot
1335,None of the Above,None of the Above,9824,Chhattisgarh - Chitrakot
1336,BHIMA MANDAVI,Bharatiya Janata Party,37990,Chhattisgarh - Dantewara
1337,DEVATI KARMA,Indian National Congress,35818,Chhattisgarh - Dantewara
1338,NANDA RAM SORI,Communist Party of India,12195,Chhattisgarh - Dantewara
1339,KESHAV NETAM,Bahujan Samaj Party,6119,Chhattisgarh - Dantewara
1340,BALOO RAM BHAWANI,Aam Aadmi Party,4903,Chhattisgarh - Dantewara
1341,JAYA KASHYAP,Independent,3555,Chhattisgarh - Dantewara
1342,SUDHRU RAM KUNJAM,Bhartiya Panchyat Party,3154,Chhattisgarh - Dantewara
1343,None of the Above,None of the Above,9929,Chhattisgarh - Dantewara
1344,VIKRAM MANDAVI,Indian National Congress,44011,Chhattisgarh - Bijapur
1345,MAHESH GAGDA,Bharatiya Janata Party,22427,Chhattisgarh - Bijapur
1346,CHANDRAIYA SAKNI,Janta Congress Chhattisgarh (J),2696,Chhattisgarh - Bijapur
1347,HARISH PAMBHOI,Independent,2004,Chhattisgarh - Bijapur
1348,SANTOSH PUNEM,Samajwadi Party,999,Chhattisgarh - Bijapur
1349,TRIPAT YALAM,Aam Aadmi Party,942,Chhattisgarh - Bijapur
1350,JAMES KUDIYAM,Independent,920,Chhattisgarh - Bijapur
1351,None of the Above,None of the Above,4703,Chhattisgarh - Bijapur
1352,KAWASI LAKHMA,Indian National Congress,31933,Chhattisgarh - Konta
1353,DHANIRAM BARSE,Bharatiya Janata Party,25224,Chhattisgarh - Konta
1354,MANISH KUNJAM,Communist Party of India,24549,Chhattisgarh - Konta
1355,VIJAY SODI,Chhattisgarh Swabhiman Manch,1660,Chhattisgarh - Konta
1356,BUDHRAM KARTAMI,Bahujan Samaj Party,1660,Chhattisgarh - Konta
1357,RAMDEV BAGHEL,Aam Aadmi Party,1619,Chhattisgarh - Konta
1358,None of the Above,None of the Above,4468,Chhattisgarh - Konta
